diurez	【医】多尿
siliciat	【鉱】ケイ酸塩
toni	【生】緊張(筋緊張)
jekci	【数】写像
aken	【植】痩果
lau^s	【動】シラミ
inhib	抑制
sapr	【生態】腐生物質(枯死有機物)
mud	【動】脱皮
verticil	【植】輪生
eluvi	【地質】溶脱層
blink	点滅光
plastid	【植】色素体(プラスチド)
skab	【植】そうか病
poez	【生】造血
sukur	【医】応急手当
stres	【生】ストレス
sket	滑る
kataliz	【化】触媒作用
flagel	【生】鞭毛
alien	【法】譲渡
ask	【植】子嚢
citoz	【生】サイトーシス(小胞輸送)
fosfo	【化】ホスホリパーゼ
ribosom	【生】リボソーム
punktur	【医】刺針
espart	【植】エスパルト
pron	回内
kogn	認知
krement	増減操作
striptiz	ストリップショー
fenil	【化】フェニル基
supin	回外
stupor	【医】昏迷
grop	【動】尻
salubr	【医】健康によい
inciz	切開
katec^u	カテキュー
hac^	ハッチング線
devot	【宗】敬虔
anabol	【生】同化
pretor	【史】法務官
sau^r	【動】トカゲ類
insil	サイロ貯蔵
brutal	乱暴者
aspleni	【植】チャセンシダ属
elu	【化】溶離
servir	サーブ
prompt	敏捷
turg	【生】膨圧で膨れる
tekton	【植】チーク
kac	陰茎(俗語)
fik	性交する(俗語)
glac^er	【地理】氷河
steat	脂肪
g^emin	【解】二つで対をなす
cintr	アーチ支保工
konidi	【菌】分生子
somnol	まどろみ
konglomer	凝集させる
lukr	収益
fini	【数】有限の
kuret	【医】鋭匙(キュレット)
kodon	【生】コドン
karbazid	【化】カルバジド
trace	【技】道路中心線
brez	蒸し煮にする
kaligraf	書家
fau^lt	【地質】断層
kandid	【菌】カンジダ
c^ur	精液(俗語)
flavin	【化】フラビン
semi	【化】セミカルバジド
intra	筋肉内の
celom	【動】体腔
batu	巻狩り
s^rot	挽き割り穀物・粗挽き粉
prolifer	増殖する
karadri	【動】チドリ
karoten	【化】カロテン
infest	群がり侵入する・蔓延する
vobl	振れ回る
idl	空転する
knik	【工】座屈
remork	被牽引車・トレーラー
spurt	スパート
tabet	【医】脊髄癆
deprec	価値低下・減価
tau^tomer	【化】互変異性体
procelari	【動】ミズナギドリ
setl	定住する・入植する
racem	【化】ラセミの
lokal	室・店舗
ladan	【植】ラブダナム・香脂
ion	【化】イオン
punik	【植】ザクロ属
sarkom	【医】肉腫
transpir	発汗・蒸散
kvest	募金・喜捨集め
globulin	【生化】グロブリン
neg	否定する
kopul	【文法】繋辞・コピュラ
kontener	コンテナ
peristalt	【生理】蠕動
jakv	【植】パラミツの果実
trinitr	【化】ニトログリセリン
hipofiz	【解】下垂体
bent	【生態】底生生物・ベントス
serpenten	【地質】蛇紋石
stokast	【数】確率過程・確率的
transit	通過の・トランジット
lind	愛らしい
merd	糞・くそ
stek	ステーキ
alotrop	【化】同素体の・同素形の
mote	【動】イガ
rabd	占い棒・ダウジングロッド
filari	【動】糸状虫・フィラリア
impetig	【医】膿痂疹・とびひ
sampl	【統計】標本・サンプル
atrop	【植】ベラドンナ属
pralin	プラリネ
frok	修道服・僧衣
blaz	【医】水疱
kupel	【化】灰吹きする
sinu	湾曲
defet	敗北を覚悟する
neu^rolept	【医】抗精神病薬
amni	【解】羊膜
signifikanc	【統計】有意性
disdegn	軽蔑する
kakinok	【植】カキノキ
s^tanc	【技】打ち抜く
dikro	【鉱】二色性
prokariot	【生】原核生物
glicer	【化】グリセリル基
helm	【史】中世の兜
artikulaci	【言】調音
rikur	【情報】再帰
bos	【建】粗面石積み
turbid	【地質】混濁流堆積物
apel	【軍】点呼
arki	【宗】司教代理
ekstens	伸展
ured	【植】さび菌
anastomoz	【解】吻合
kalm	無風
karpel	【植】心皮
plasti	【医】形成術
grumel	凝固塊
koc^	【動】コチニールカイガラムシ
puber	【生】思春期の
s^ed	家畜小屋・差掛け小屋
lic^i	【植】レイシ・ライチ
restrikt	制限・制約
sinistr	【保険】災害・損害事故
eu^kariot	【生】真核生物
kontrah	【生】筋肉を収縮させる
pleokro	【鉱】多色性の
nekton	【生態】遊泳生物・ネクトン
arek	【植】ビンロウジュ属
tore	闘牛をする
lancin	【医】刺すように痛む
unitari	ユニテリアン
s^us	滑り降りること
hidrid	【化】水素化物
pelag	【生態】遠洋生物
alteraci	【地質】変質作用
mezomer	【化】共鳴構造・共鳴形
ahims	不殺生・アヒンサー
delekt	楽しませる・喜ばせる
lofi	【動】アンコウ属
ferut	鉄道車両で輸送する
salmon	【動】サケ属
mizogin	女嫌い・ミソジニスト
abandon	【保険】委付
banus	【史】バン(太守)
kopal	【化】コーパル樹脂
rastr	先鍬
anzu	【植】アンズ
teri	【動】獣亜綱
bigarel	【植】堅肉桜桃
falun	【地質】貝殻砂岩
psitak	【動】ヨウム
kuspid	【解】咬頭
dezajn	【技】デザイン
le	風下舷
stim	評価額
galb	凸状輪郭
knid	【動】刺胞
pekan	【植】ペカン
fasm	【動】ナナフシ
solfeg^	【楽】階名唱法
karcinom	【医】癌腫
supe	晩餐
kompuls	強制する
s^ibu	柿渋
bifid	二分した
butilhidroksi	【化】BHA
muskardin	硬化病
epik	叙事詩
matriark	母系制
pedikur	足治療
lime	【植】ライム
j^am	電波妨害する
platenat	【化】塩化白金酸塩
trigon	【解】三角
ptoz	【医】下垂
karbazon	【化】カルバゾン
ejgen	【数】固有値
dajmon	ダイモーン
numen	【宗】ヌーメン
presuriz	加圧する
deterg	洗浄する
ozid	【化】配糖体
piknidi	【植】柄子殻
nukleaz	【生】核酸分解酵素
cerebr	【解】大脳
resus	【動】アカゲザル
anamorfoz	歪像画
monofizit	【キ】単性論者
skold	叱責
aspiraci	【語】帯気音
s^ort	【服】ショートパンツ
rota	【キ】ローマ控訴院
bravur	【楽】超絶技巧
decidu	【解】脱落膜
eskar	【医】壊死組織・痂皮
editor	校訂者・編集者
ambigu	曖昧な
uncial	アンシャル体
mileni	千年・千年王国
prospektor	探鉱者
kiropraktik	【医】カイロプラクティック
o-brasik	【植】セイヨウアブラナ
asidu	勤勉な・皆勤の
cug	【植】ツガ
epoksi	【化】エポキシ
diazoni	【化】ジアゾニウム
alken	【化】アルケン
infiltr	【医】浸潤する
oratori	【楽】オラトリオ
fikus	【植】イチジク属
lagoftalm	【医】兎眼
emigr	亡命する
j^akard	ジャカード機
benjet	揚げ菓子・フリッター
trogon	【動】キヌバネドリ
separat	【政】分離独立主義
ancilostom	【動】鉤虫
eksplic	明確に説明する
sufuz	【医】溢血する・滲出する
deviaci	【史】偏向(党路線からの逸脱)
filum	【生】門(分類階級)
inferenc	【哲】推論
koopt	補充選任する・増員する
legionel	【生】レジオネラ属
kontumac	【法】欠席(被告の不出頭)
mejoz	【生】減数分裂
skulptur	彫刻
aleksi	【医】失読症
strongil	【動】円虫属(ストロンギルス)
marsupi	【動】育児嚢
seroz	【解】漿膜
numulit	【動】貨幣石(ヌンムリテス属)
alcioni	【動】ウミトサカ属
trombidi	【動】ツツガムシ属(トロンビジウム)
gofr	【技】型押しする・浮き出し加工する
s^raman	【宗】沙門(遊行苦行僧)
ekto	【生】外胚葉
bigarad	【植】ダイダイ(酸橙)
rang^	入換える(貨車の)・操車する
akril	【化】アクリル基
dentin	【解】象牙質
glikol	【化】グリコール(1,2-プロパンジオール)
impregn	防腐含浸する
upas	【植】ウパス毒(矢毒)
konsign	委託販売に送る
borat	【化】ホウ酸塩
sesdeknau^	シックスナイン
regurgit	【医】逆流・吐き戻し
hesperornit	【動】ヘスペロルニス
anaglif	浮彫り装飾;アナグリフ
homotet	【数】相似拡大であること
belon	【動】ダツ
sued	【植】マツナ属
leandr	【動】テナガエビ
rezident	【政】駐在弁務官
cipre	【動】タカラガイ
katekol	【化】カテコール
arkegoni	【植】造卵器
perfor	穿孔する
neritik	【地質】浅海帯の
fag^	ファージの粒子
homoteti	【数】相似拡大
hidatid	【動】包虫
bugr	肛門性交する
efedrin	【化】エフェドリン
fideikomis	【法】信託遺贈財産
lentan	【植】ランタナ
stimulin	【生】刺激物質
greb	【鳥】カイツブリ類
ovi	【動】ヒツジ属
file	ヒレ肉
tetanos	【医】破傷風
frog	【鉄道】クロッシング
burg	【史】城塞
insinu	あてこすり
pastern	【馬】繋(球節下部)
anafor	【修辞】首句反復
pamp	【地理】パンパ
karis	【植】カリッサ属
s^kop	あか汲み
ekvipotencial	【物】等電位
sena	【植】センナ属
rabet	【技】溝(さねはぎ)
muestr	【統計】標本
c^izoj	金切りばさみ
suspensori	【医】陰嚢吊带
anduj	アンドゥイユ
limed	【植】スイートライム
kulvert	暗渠
prognat	【解】突顎
skorpen	【魚】フサカサゴ属
gonad	【解】生殖腺
karj	【植】ヒッコリー
knal	パンと鳴る
skovel	管掃除ブラシ
kori	【解】絨毛膜
acipenser	【動】チョウザメ
ksantom	【医】黄色腫
pluvi	【動】チドリ
riport	報道する
bac	【史】バーツ(旧独貨幣)
kvik	【植】シバムギ
heterodin	ヘテロダイン
tribunus	【史】護民官
teba	アヘンの
vojevod	【史】総督
skalen	【解】斜角筋
sfenisk	【動】ケープペンギン属
primordi	【植】原基
bordun	【楽】最低音
enkau^stik	【史】蝋画
silt	【地質】シルト
defens	放牧を禁じる
lontan	遠方
madz	【史】鎚矛
rustik	【建】素朴な
dietik	食餌療法学
fol	ふざけた狂気・道化
secesi	【法】分離独立・脱退
ametrop	【医】非正視の・屈折異常の
kapus	船首方位・針路
alkin	【化】アルキン
rea	【動】レア・ナンドゥー
kladik	分岐学・系統分類学
skoli	古注・注釈
tak	タカ(バングラデシュ通貨)
esamen	分蜂群
uv	【植】ブドウ
difeomorf	【数】微分同相性
delic	美味・快楽
slum	スラム・貧民街
marki	【史】辺境伯領
gug^	丸のみ・くり鑿
apterig	【動】キーウィ
demodeks	【動】ニキビダニ
centuri	【史】百人隊
sapot	【植】サポジラ
razi	【史】略奪遠征・手入れ
bilharzi	【医】住血吸虫
puntili	面目・体面
redund	冗長・冗語
midriaz	【医】散瞳
rasl	【医】ラ音
skrutini	開票検査
galin	【動】ニワトリ属
soldanel	【植】イワカガミダマシ属
kokcidi	【動】コクシジウム亜綱
korm	【植】茎葉体
homotopi	【数】ホモトピー
diospir	【植】カキノキ属
lipaz	【生化】リパーゼ
spermati	【植】精子(不動精子)
karbonar	【史】炭焼党員
rugin	【医】骨膜剥離器
kokle	【解】蝸牛
meloman	音楽愛好家
bombak	【植】キワタ属
reprograf	複写する
salp	【動】サルパ属
ocel	【動】単眼
kurar	クラーレ
vitel	【生】卵黄
notakant	【動】ソコギス属
nova	【天】新星
prokavi	【動】ハイラックス属
splint	【医】副木
desapont	失望させる
kalmar	【動】ヤリイカ
kariljon	カリヨン(組鐘)
mitoz	【生】有糸分裂
eu^fau^zi	【動】オキアミ
salangan	【動】アナツバメ
fosforil	【化】リン酸化する
sporotrik	【植】スポロトリックス菌
iliak	【解】腸骨
granulom	【医】肉芽腫
sob	下へ
pilor	【解】幽門
litiaz	【医】結石症
konvikt	有罪立証
eu^metrop	【医】正視
s^oh^t	【聖】律法に従い屠る
alkadien	【化】アルカジエン
imbecil	【医】中等度知的障害者
prod	【史】勇者(騎士)
propriocept	【生】固有受容する
hif	【植】菌糸
marabut	【イスラム】隠者・聖者
vajd	【植】ホソバタイセイ(藍)
kiral	【理】キラルな
saltier	頸飾り綬
hierodul	【宗】神殿娼婦
jodl	ヨーデル
kakofoni	不協和音、耳障りな音
dracen	【植】リュウケツジュ属
bleni	【動】ギンポ属
dikotom	【植】二叉分枝の
ake	【動】ナマケモノ
azo	【化】アゾ基
heksagon	六角形
olfakt	【生】嗅覚
fove	【解】小窩、中心窩
klozet	水洗便所
manis	【動】センザンコウ属
kiromanci	手相占い
bras	【海】帆桁の操り綱、ブレース
interstic	【解】間隙、組織間隙
draj^	【植】根萌芽、根孽
cisticerk	【動】嚢虫、嚢尾虫
c^uk	【技】チャック
tenebr	暗闇、暗黒
signatur	署名
preg	【技】型打ち、プレス成形
dubel	【技】アンカープラグ、栓
barbaden	【植】オオミノトケイソウ
remit	【医】寛解
vokoid	【語】母音的音、ボコイド
palatin	【史】宮中伯
krin	たてがみの毛
okt	【楽】オクターブ
skut	スキーで滑走する
pemikan	ペミカン(干肉)
alce	【植】タチアオイ属
steg	【技】控え材・ステー
pudl	【冶】パドル精錬する
eten	【化】エチレン
til	麻打ち具・スカッチ
kromatin	【生】クロマチン・染色質
onkocerk	【動】回旋糸状虫属
kojon	睾丸
brakte	【植】苞
au^reli	【動】ミズクラゲ属
eskalon	【軍】梯隊
anksi	【医】不安
nukleotid	【生化】ヌクレオチド
oestr	【生】発情
teleks	テレックス
kolerik	【医】胆汁質
frigid	【医】不感症
sprint	短距離走・スプリント
brisur	【紋章】区別記号
enkliz	【語】後接辞化
eu^fori	【医】多幸感
koder	符号要素
klejstogam	【植】閉花受精
nelg	最近起きた
strid	きしむ音を発する
koril	【植】ハシバミ属
ambliop	【医】弱視の
kobr	【動】コブラ
silen	【植】マンテマ属
staki	【植】イヌゴマ属
ekzoftalmi	【医】眼球突出
ekshibici	露出症
tiravir	巻き上げ用二重綱
steroid	【化】ステロイド
lizin	【化】リシン
suspend	停止
kurm	【植】ナナカマドの実
akcidenc	【哲】偶有性
karak	カラック船
hals	タック索
trikofit	【医】白癬菌属
senjor	【史】領主
kalot	【数】球冠
katabol	【生】異化
ambulatori	回廊
sakral	神聖な
karakal	【動】カラカル
palavr	長い協議
fantast	幻想文学
meretric	娼婦
promulg	公布する
glucid	【化】糖質
apeks	【解】尖端
aktini	【動】イソギンチャク
kasi	【植】カワラケツメイ属
roku	【化】ベニノキ色素
elan	勢い
ral	【動】クイナ
liv	左の
kibic	おせっかいな見物人
midz	フェラチオする
oks	去勢牛
sabin	【植】サビナビャクシン
detrit	【地質】砕屑物
flameng	【動】フラミンゴ
kongel	冷凍する
kokolit	【植】円石藻
imperator	【史】凱旋将軍の称号
lamprid	【動】アカマンボウ
vajr	リス毛皮模様
etuv	【医】恒温器・乾燥滅菌炉
konvalesk	【医】快復・回復期
kut	【史】鎧の上着・サーコート
h^elicer	【動】鋏角
anal	【史】年代記
suber	【植】コルク組織
livid	【医】青ざめた・蒼白の
adjudant	【軍】准尉
rung	【技】横木・桟
knut	ナガヤ鞭・革鞭
abrog	廃止・撤廃
ament	【植】尾状花序
puerper	【医】産褥の
frakt	【数】フラクタル
vitre	【解】硝子体
tal	【解】距骨
rizofor	【植】ヒルギ属
pitiat	【医】暗示で治る・心因性
rund	巡回・見回り
lapil	【地質】火山礫・ラピリ
homotop	【数】ホモトピー的
alism	【植】サジオモダカ属
stink	悪臭を放つ
tektonik	【地質】構造地質学
gej	同性愛者・ゲイ
neoten	【生】幼形成熟
opilion	【動】メクラグモ
mioz	【医】縮瞳
scil	【植】ツルボ属
patn	母屋(もや)
rimors	後悔・良心の呵責
pudend	【解】陰部
ofiur	【動】クモヒトデ
mehar	早駆け用ヒトコブラクダ
cum	【植】集散花序
afinaci	製鋼・精錬
stukac^	密告者
podicip	【動】カイツブリ属
hihi	ヒヒッ(笑い声)
skistosom	【動】住血吸虫
seton	【医】排膿線・ドレーン糸
som	【生】〜ソーム(小器官)
impos^t	迫元(せりもと)
alize	貿易風
reel	【数】実数
neoti	【植】サカネラン属
holoste	【動】全骨類
ftalein	【化】フタレイン
kvivit	チチッ(小鳥の鳴き声)
prokliz	【言】前接化
algid	【医】低体温
brusk	邪険に扱う
kah^eksi	【医】悪液質
propuls	【技】推進する
angiom	【医】血管腫
varianc	【数】分散
rekvizit	【演】小道具
likvesk	【化】潮解する
ekspektor	【医】喀痰する
finis^	【ス】ラストスパート
premium	保険料
katafor	【言】後方照応
simbrank	【動】タウナギ属
aktinidi	【植】マタタビ属
vernaliz	【農】春化
splend	輝かしく見える
diskrimin	識別する
psikedel	【医】幻覚剤の
besti	野獣
difeomorfi	【数】微分同相写像
komoci	【医】震盪
ciper	【植】カヤツリグサ属
s^malc	ラード
signifik	【数】有意である
bukan	燻製肉
nau^tik	航海術
tetrark	【史】四分国の君主
kontra	【楽】コントラファゴット
redoks	【化】酸化還元対
miksin	【動】ヌタウナギ
urus^i	【植】漆・ウルシ
kraks	【動】ホッコウ
goliard	【史】放浪学僧
s^us^	歯擦音
roj	【地】小川
kristalin	【解】水晶体
resum	要約・概要
ektomi	【医】切除
liz	【化】溶解・分解
grafi	【医】書字障害(失書)
oksi	【医】酸素欠乏(低酸素)
pter	【動】翼・ひれ(ナガスクジラ属)
micet	【生】菌(放線菌)
gami	無性生殖の・無性の
morfi	【数】形・同型(自己同型)
hetero	他律・異質
nefr	【医】腎(腎炎)
blast	【生】胚・胚葉
kole	【医】胆(胆汁血症)
sakarid	【化】二糖(糖類)
bazidi	【生】担子(担子菌)
ploid	二倍体の(倍数性)
aktin	日射計(放射)
sterol	【生】ステロール(固醇)
staz	【医】停滞・止血
ekzo	外婚・異系交配(外)
kinez	【医】運動(運動障害)
vaskul	【医】血管(血管炎)
lipid	【生化】脂質
globin	【医】グロビン(球タンパク)
cito	【生】細胞
seism	地震
stomat	【医】口腔
enantio	【化】対掌の・鏡像の
miko	【生】菌類
rin	【医】鼻
eu^	良・正常
kerat	【医】角膜
pio	【医】膿
suspensi	【技】懸架・サスペンション
erot	性愛・エロス
goni	【測】角度
klad	【植】分岐群・クレード
plazi	【医】形成・増殖
krio	【理】寒冷・低温
oligo	【生】微量・少数
afin	類縁・親和
kondr	【解】軟骨
melan	黒・メラニン
kortik	【解】皮質
adip	【化】脂肪
klast	破壊者・聖像破壊者
h^ord	【動】脊索
helmint	【動】蠕虫
gamet	【生】配偶子
somat	【生】体細胞
dodeka	【数】十二
globul	【医】血球
gluk	【化】ブドウ糖
opt	【医】視力
lab	【動】皺胃・凝乳酵素
gnostik	【宗】グノーシス
sfigm	【医】脈拍
glutam	【化】グルタミン酸
uro	【医】尿
sutur	【医】縫合
onk	【医】腫瘍
eritrocit	【医】赤血球
cefalaspid	【動】頭甲類
kser	【医】乾燥
haspel	【繊】かせ繰り機
taki	【技】速度
pteraspid	【動】翼甲類(無顎類の綱)
raki	【医】脊椎(脊柱)
papir	パピルス(紙草)
falus	陰茎像(ファロス)
miring	【医】鼓膜
debil	【医】虚弱な
dendro	【植】樹木
hemat	【動】ミヤコドリ
tarz	【医】瞼板(足根)
treponem	【医】トレポネーマ
averag^	【数】平均
recidiv	【医】再発
ipek	【植】吐根(トコン)
diplo	【生】双球菌
glik	【化】グリコール
prote	【植】プロテア(帝王花)
vehikl	【化】基剤(担体)
kardj	【医】噴門
simpat	【医】交感神経の
kolin	【化】コリン
radikl	【医】神経根
zigot	【生】接合体(ヘテロ接合体)
megom	【理】メグオーム計
anopsi	【医】半盲・視野欠損
sfing	【動】スズメガ
pubi	【医】恥骨切開
operator	【数】作用素・演算子
atm	【理】蒸発計
spermat	【生】精母細胞
veksil	旗章学
iktio	【動】魚類学者
polem	【政】戦争学者
propil	【化】プロピル基
iskiat	【医】坐骨神経
okta	正八面体
verumontan	【医】精丘炎
klimaks	【文】クライマックス
dipso	【医】渇酒症・飲酒衝動
psok	【動】チャタテムシ目
c^ir	【植】巻きひげ
nef	【気】雲量計
semio	【医】症候学・記号論
areol	【解】乳輪・暈
protrud	【解】突出した
klepto	盗癖(の)
ekspresion	表現(主義)
c^ement	【解】セメント質
au^toklav	【技】オートクレーブ
glomerul	【解】糸球体
ksen	異邦人・外来
faci	【解】顔・顔面
leu^cin	【化】イソロイシン
fleb	【医】静脈
fob	恐怖症
topik	論題・主題
uve	【医】ぶどう膜
abrazi	【地質】磨食・剥離
dakriocist	【医】涙嚢
tionat	【化】チオン酸塩
eh^in	【動】ウニ
sinklinal	【地質】向斜
koronari	【解】冠状動脈(の)
albugine	【解】白膜
urat	【化】尿酸塩
divertikul	【医】憩室
pre	前(接頭辞)
tire	【解】甲状軟骨
arh^e	古い・始原の
sklerot	【医】強膜(巩膜)
mastoid	【解】乳様突起
deont	【哲】義務論・倫理学
sulfam	【化】スルファミン酸
ostrak	【古生】甲皮類(化石魚)
stekio	【化】化学量論
vaginal	【解】鞘膜
mediastin	【解】縦隔
tenar	【解】母指球(魚際)
sulfin	【化】スルフィン酸
apercept	【哲】統覚
mikot	【菌】担子菌門
ekt	【生】外胚葉
hagi	聖人伝作者・聖典著者
sarment	【植】つる枝・蔓
anark	無政府主義
balan	【動】フジツボ
tikso	【理】チキソトロピー性
larg	【海】横風受け・幅広
ligatur	【医】結紮(結紮糸)
talam	【解】視床下部
hedon	【哲】快楽主義
fulgor	【動】ハゴロモ類(蝋蝉)
metoksi	【化】グアヤコール
aspart	【化】アスパラギン酸塩
vrak	難破船・残骸
glikogen	【生化】グリコーゲン生成
kvi	静穏な
brec^i	【地質】角礫岩
pjel	【医】腎盂炎
citronel	【化】シトロネラール
sial	【地質】シアル層
burs	【解】滑液包
