root	kanji	band	gloss
liber	自由	basic	{Ｂ}自由な;独立の,束縛されない,免れた;ひまな,空いている,広々した
pan	面包	basic	{Ｂ}【料】パン,食パン;《転》糧（かて）,食糧
buter	黄油	basic	［他］バターをぬる
kruc	十字	basic	十字架の;十字形の
ekonomi	经济	basic	経済上の;経済的な
ekonomik	经济	basic	経済学的
fojn	干草	basic	［自］刈り草を乾かす
pip	烟斗	basic	{Ｂ}（喫煙用）パイプ,きせる（煙管）
roman	小说	basic	小説の
kravat	领带	basic	{Ｂ}【服】ネクタイ
ber	浆果	basic	{Ｂ}（イチゴ・ブドウなど汁気の多い）実;【植】液果
karot	胡萝卜	basic	{Ｂ}【植】ニンジン（人参）
menton	下巴	basic	下あごの
pasport	护照	basic	旅券の
stal	马棚	basic	{Ｂ}厩舎,畜舎,家畜小屋;馬小屋,うまや
viol	紫花	basic	スミレの;=violkolora（すみれ色の）
fulg	烟灰	basic	［自］すすける
oliv	橄榄	basic	{Ｂ}【果】オリーブ
ort	直角	basic	【数】直角の
uragan	暴风	basic	暴風の;《転》嵐のような,激しい
tempest	暴风	basic	{Ｂ}暴風雨;【気】暴風（風力階級11）,>>s^tormo,>>uragano
tribunal	法院	basic	{Ｂ}【法】裁判所;《転》法廷,裁きの場,>>jug^ejo
seraf	天使	pejvo	{Ｏ}【聖】セラピム;【キ】セラフィム,熾天使（してんし）（最高位の天使）
benzin	汽油	basic	{Ｂ}ガソリン;【化】ベンジン
cement	水泥	basic	［他］セメントで固める;《転》強固にする
fizik	物理	basic	物理学の,物理的な;物質的な;肉体的な
gant	手套	basic	［他］手袋をはめる
respublik	共和	basic	{Ｂ}【政】共和国;共和制
vakcin	疫苗	basic	予防接種の,ワクチンの
kemi	化学	basic	{Ｂ}化学
kret	白石	basic	白亜質の
nerv	神经	basic	神経の;=nervoza（神経質な）
pretekst	借口	basic	［他］口実にする,かこつける
proz	散文	basic	散文の;《転》散文的な,平凡な,面白味のない,>>banala,>>plata
pulv	火药	basic	{Ｂ}火薬
tropik	热带	basic	回帰線の;熱帯の
balbut	结巴	basic	{Ｂ}［自］どもる
cign	天鹅	basic	{Ｂ}【鳥】ハクチョウ（白鳥）;《転》詩聖
piknik	野餐	basic	［自］野外で食事する
matematik	数学	basic	数学の,数学的な
minimum	最小	basic	最小の,最少の,最低の
palpebr	目皮	basic	{Ｂ}まぶた;【解】眼瞼（がんけん）;《転》目
palt	大衣	basic	{Ｂ}【服】オーバー,外套（がいとう）,防寒コート,>>surtuto
pantofl	拖鞋	basic	{Ｂ}スリッパ,室内ばき,>>babus^o
pap	教皇	basic	教皇の,法王の
pensi	养老	basic	［他］年金を支給する
rafan	萝卜	basic	{Ｂ}【植】ダイコン（大根）（種）;【植】ダイコン（属）
rap	萝卜	pejvo	{Ｏ}【植】カブ,カブラ（蕪）（種）
uniform	制服	basic	制服の,そろいの
livre	制服	pejvo	{Ｏ}（従僕などの）仕着せ,そろいの服,制服
aven	燕麦	basic	{Ｂ}【植】カラスムギ（烏麦）（属）;【植】エンバク（燕麦）,オートムギ
bet	甜菜	basic	{Ｂ}【植】ビート,テンサイ（甜菜）,サトウダイコン（砂糖大根）
bifstek	牛排	basic	{Ｂ}【料】ビーフステーキ,>>sanga,>>mezrostita,>>trarostita
dot	嫁妆	basic	持参金の
gramatik	语法	basic	文法上の
helikopter	直升机	basic	{Ｂ}【空】ヘリコプター,>>au^togiro
jubile	庆典	basic	記念祭の
kirurg	外科	basic	{Ｂ}外科医
kirurgi	外科	basic	{Ｂ}【医】外科学,外科
klimat	气候	basic	{Ｂ}気候;風土
lili	百合	basic	{Ｂ}【植】ユリ（属）（百合）
maiz	玉米	basic	{Ｂ}【植】トウモロコシ（種）;トウモロコシの実
palat	口顶	basic	口蓋の
fajenc	陶土	basic	{Ｂ}陶土;=fajencaj^o
fasad	正面	basic	{Ｂ}【建】（建物の）正面,ファサード;【情】ユーザーインターフェース,>>interfaco
fe	妖精	basic	妖精の;《転》夢のように美しい
fig	无花果	basic	{Ｂ}【果】イチジク
fluid	流体	basic	流体の;流動性のある
fontan	喷泉	basic	{Ｂ}噴水;噴水装置
fotel	扶椅	basic	{Ｂ}肘掛け椅子,=brakseg^o
frak	燕尾	basic	{Ｂ}【服】燕尾服（えんびふく）
funel	漏斗	basic	{Ｂ}じょうご,ろうと（漏斗）;漏斗形のもの
gelaten	明胶	basic	{Ｂ}【化】ゼラチン
girland	花环	basic	［他］花飾りで飾る,花飾りに編む
feston	花环	pejvo	［他］花綱で飾る;【服】スカラップをつける
grip	流感	basic	{Ｂ}【病】インフルエンザ
gudr	焦油	basic	［他］タールを塗る
hangar	棚库	basic	{Ｂ}【空】格納庫;納屋,上屋,倉庫
hektar	公顷	basic	{Ｂ}【単】ヘクタール,=cent aroj
instanc	审级	basic	{Ｂ}裁決機関,当局,官公庁;【法】審級
interpelaci	质询	basic	{Ｂ}［他］【政】（議会で大臣に）質問する,説明を求める
invalid	残疾	basic	{Ｂ}廃疾者,（傷病による）就労不能者
jug	束缚	basic	［他］くびきにつける;束縛する;隷属させる
kahel	瓷砖	basic	［他］タイルを張る
kakt	仙人掌	basic	{Ｂ}【植】サボテン（科）
karnaval	狂欢	basic	{Ｂ}カーニバル,謝肉祭
kolonel	上校	basic	{Ｂ}【軍】（陸軍・空軍の）大佐;連隊長,>>veselkapitano
komisar	专员	basic	{Ｂ}【政】委員;役員,幹事;【史】（旧ソ連の）人民委員
konkord	和合	basic	和合した,一致した
konsul	领事	basic	{Ｂ}領事;【史】（ローマの）執政官
kontest	异议	basic	{Ｂ}［他］異議を唱える
konval	铃兰	basic	{Ｂ}【植】スズラン（属）（鈴蘭）,>>majfloro
kurent	电流	basic	{Ｂ}【電】電流
laboratori	实验室	basic	{Ｂ}研究室,実験室;研究所,試験所
lacert	壁虎	basic	{Ｂ}【動】トカゲ（類）;【動】コモチカナヘビ（属）
lantern	灯笼	basic	{Ｂ}角灯,ランタン,カンテラ,ちょうちん;【建】（明かり採りの）頂塔;（灯台頂部の）灯火室
larv	幼虫	basic	{Ｂ}【虫】幼虫;【動】幼生,>>imagino
latun	黄铜	basic	真ちゅうの
tombak	黄铜	pejvo	{Ｏ}【化】トムバック,人造金（銅と亜鉛の合金）;《転》（安っぽい）模造品
limak	蜗牛	basic	ナメクジの;《転》のろのろした
lin	亚麻	basic	{Ｂ}【植】アマ（属）（亜麻）
lokomotiv	机车	basic	{Ｂ}【鉄】機関車
longitud	经度	basic	{Ｂ}【地理】経度,>>latitudo
lubrik	润滑	basic	{Ｂ}［他］（機械に）油をさす,注油する
majest	庄严	basic	{Ｂ}威厳のある,堂々とした
maleol	脚腕	basic	{Ｂ}【解】くるぶし（踝）;=piedartiko（足首）
marmelad	果酱	basic	{Ｂ}【料】マーマレード,ジャム（果肉を煮つぶしたもの）,>>konfitaj^o
metalurgi	冶金	basic	{Ｂ}冶金（やきん）業,冶金術;冶金学
muzel	口鼻	basic	{Ｂ}（動物の）鼻づら
najtingal	夜莺	basic	{Ｂ}【鳥】ナイチンゲール,サヨナキドリ（小夜鳴鳥）
oficir	军官	basic	{Ｂ}【軍】士官,将校
oper	歌剧	basic	オペラの
orator	演说	basic	弁論の,雄弁な
oval	椭圆	basic	{Ｏ}卵形線の;卵形の,=ovoforma
elips	椭圆	pejvo	{Ｏ}【Ｇ】（語の）省略;【数】楕円（だえん）
pav	孔雀	basic	［自］（クジャクが）尾羽を広げる;《転》気取って歩く
pekl	盐浸	basic	{Ｂ}［他］【料】塩漬けにする
pice	云杉	basic	{Ｂ}【植】トウヒ（唐檜）（属）
pilot	领航	basic	［他］【空】操縦する;【海】水先案内する
pland	足底	basic	{Ｂ}足の裏;=plandumo（靴底）
platan	悬铃木	basic	{Ｂ}【植】プラタナス,スズカケノキ（篠懸の木）（属）
plural	复数	basic	{Ｂ}【Ｇ】複数,=plurnombro,>>singularo
profet	先知	basic	預言の
prolet	无产	basic	プロレタリアの
proletari	无产	basic	{Ｂ}=proleto（プロレタリア）
punt	花边	basic	レースの,レースのついた
radiator	散热	basic	{Ｂ}【機】ラジエーター,放熱器（暖房装置や自動車エンジンの冷却器）
reakci	反应	basic	反動的な;反動の,反応の
reflekt	反射	basic	【理】反射の
refleks	反射	pejvo	【生】反射
rib	醋栗	basic	{Ｂ}【植】スグリ（酸塊）（属）;《般》スグリの実（特にフサスグリの類を指す）,>>groso
gros	醋栗	pejvo	{Ｏ}【植】=grosujo;【果】グーズベリーの実,（セイヨウ）スグリの実,>>ribo
satir	讽刺	basic	風刺的な,風刺のきいた
sciur	松鼠	basic	{Ｂ}【動】リス（栗鼠）（科の総称）
sekal	黑麦	basic	{Ｂ}【植】ライムギ（属）;ライ麦（穀物）
senat	上院	basic	上院の;参議院の
sled	雪车	basic	［自］そりで行く
lug^	雪车	pejvo	［自］【運】リュージュですべる,>>glitveturi
sorg	高粱	basic	{Ｂ}【植】モロコシ（蜀黍）（属）;《般》コウリャン（高粱）
spinac	菠菜	basic	{Ｂ}【植】ホウレンソウ（菠薐草）（属）
spong	海绵	basic	［他］スポンジでふく
stadion	赛场	basic	{Ｂ}スタジアム,競技場
stamen	雄蕊	basic	{Ｂ}【植】おしべ,雄蕊（ゆうずい）,>>pistilo
strig	猫头鹰	basic	{Ｂ}【鳥】フクロウ（梟）（の類）
strut	鸵鸟	basic	ダチョウの;《転》危険を直視しない
subtil	精细	basic	{Ｂ}微細な;微妙な,とらえ難い;（感覚の）鋭敏な,繊細な
susur	沙响	basic	{Ｂ}［自］さらさら鳴る,かさかさ音を立てる
tapet	壁纸	basic	［他］壁紙・壁布を張る
torent	激流	basic	急流の,急流のような;《転》激しい,ほとばしる
tragik	悲剧	basic	{Ｂ}悲惨な,悲劇的な,=tragedia
traktat	条约	basic	{Ｂ}【政】条約;=>traktaj^o（論文）
tram	电车	basic	{Ｂ}路面電車,市街電車（車両）,=tramveturilo;《古》=tramrelo（路面電車レール）
trumpet	小号	basic	［自］らっぱを吹く,トランペットを吹く;=distrumpeti
viadukt	旱桥	basic	{Ｂ}（谷などに渡された）陸橋,高架橋,=valponto
vulkan	火山	basic	火山の,火成の;《転》（気性などが）激しい
vultur	秃鹰	basic	{Ｂ}【鳥】コンドル（種）,=kondoro;《般》ハゲタカ（禿鷹）（ハゲワシ類、コンドル類の通称）;《転》強欲な人
spor	胞子	pejvo	【生】胞子
arbust	灌木	pejvo	{Ｏ}低木,小低木;【植】小低木
risort	弹簧	pejvo	ばね仕掛けの,ばねの利いた
galaksi	星系	pejvo	銀河の,銀河系の
korol	花冠	pejvo	{Ｏ}【植】花冠（かかん）,=petalaro
malt	麦芽	pejvo	{Ｏ}（醸造用の）麦芽,モルト
optik	光学	pejvo	光学の;視覚の
mer	链节	pejvo	【化】【PIV】Baza, ripetig^anta kemia radiko, konsistaj^o de pl
gips	石膏	pejvo	［他］石膏を塗る,漆喰を塗る
kard	刺草	pejvo	［他］【織】（繊維を）すく,カーディングする
ser	血清	pejvo	【生】血清,>>serumo
argil	粘土	pejvo	{Ｏ}粘土,陶土,>>potargilo
kvantum	量子	pejvo	【理】量子の
jon	离子	pejvo	【理】イオン
ion	离子	piv	【PIV】(evi (evitinda)) = jono.
mobil	挂饰	pejvo	【PIV】Artaj^o el plaketoj, ekvilibre pendantaj de dratoj k 
ozon	臭氧	pejvo	{Ｏ}【化】オゾン
cilindr	圆柱	pejvo	円筒形の,円柱状の;シリンダーの
daten	数据	pejvo	【情】データ,=datumo
datum	数据	pejvo	【情】データ,=dateno
ferdek	甲板	pejvo	{Ｏ}【海】甲板,デッキ;上甲板
menstru	月经	pejvo	{Ｏ}［自］【医】月経がある,（俗に）生理がある
fokus	焦点	pejvo	焦点の
episkop	主教	pejvo	{Ｏ}【キ】（カトリックの）司教,（ギリシア正教・英国国教会の）主教,（プロテスタントの）監督
ekvaci	方程	pejvo	{Ｏ}【数】方程式
patent	特许	pejvo	［他］特許を与える
koncesi	特许	pejvo	［他］【法】（利権を）委譲する,払い下げる,認可する
gist	酵母	pejvo	酵母（菌）,イースト,パン種,>>fermentaj^o
sperm	精液	pejvo	{Ｏ}【生】精液
c^ur	精液	piv	【PIV】(fm (familiara, familiare)) Spermo: diss^prucigante c
kurier	信使	pejvo	{Ｏ}急使;【史】飛脚;【遊】（チェスの）ビショップ,（将棋の）角行（角）
dinam	发电	pejvo	【機】【電】発電機,>>generatoro
generator	发电	pejvo	【電】発電機;【理】起電機
beton	混凝	pejvo	［他］コンクリートで固める
kotiledon	子叶	pejvo	子葉の
logaritm	对数	pejvo	対数の
pedal	踏板	pejvo	［他］（〜の）ペダルを踏む
tau^r	牡牛	pejvo	《稀》雄牛,種牛,=virbovo;【動】ウシ（種）
organik	有机	pejvo	{Ｏ}有機物の;【化】有機の
invest	投资	pejvo	［他］【経】投資する;《古》=investituri（任命する）
ikon	圣像	pejvo	【キ】（ギリシア正教の）聖画像,イコン,=sanktfiguro
hidrat	水合	pejvo	水和した
boks	拳击	pejvo	{Ｏ}［自］【運】拳闘する
soj	大豆	pejvo	【植】ダイズ（大豆、マメ科の植物）,=sojfabujo;【植】=sojfabo（大豆の種子）;【料】=sojsau
glicin	大豆	pejvo	【植】ダイズ属;【化】グリシン（アミノ酸の一）;【化】グリシン（写真現像用薬品）
protein	蛋白	pejvo	{Ｏ}【化】タンパク質
mikrob	细菌	pejvo	{Ｏ}【生】微生物,>>bakterio,>>protozoo,>>viruso
greft	嫁接	pejvo	［他］【園】接ぎ木する;【医】移植する
migdal	扁桃	pejvo	{Ｏ}【果】アーモンド
tonsil	扁桃	pejvo	{Ｏ}【解】扁桃腺（へんとうせん）
koeficient	系数	pejvo	{Ｏ}【数】係数;【理】率,係数,>>faktoro
tiroid	甲状	pejvo	甲状腺の
tire	甲状	piv	【解】【PIV】Tireoido (en kunmetaj^oj): tireoaritenoida (muskol
parazit	寄生	pejvo	寄生の
vor	贪食	pejvo	=mang^egi（むさぼり食う）
bazidi	担子	piv	【植】【PIV】Cilindra, klabforma au^ ronda funga c^elo au^ anka
mit	神话	pejvo	神話の,神話的な;《転》架空の
tank	战车	pejvo	{Ｏ}【軍】戦車,タンク
konvulsi	抽风	pejvo	けいれん性の,発作的な;引きつったような
jamb	抑扬	pejvo	短長格の;弱強格の,抑揚格の
marmor	大理石	pejvo	大理石の;大理石模様の;=marmoreca
pale	内壳	pejvo	【植】【PIV】(pp (se paroli pri) spiketo de la poacoj) Supra gl
diurez	多尿	piv	【医】【PIV】Abunda urinekskrecio.
filik	羊齿	pejvo	{Ｏ}【植】シダ（羊歯）
kojl	结肠	pejvo	【解】結腸,>>dika intesto
ortodoks	正统	pejvo	{Ｏ}正統の,正統的な,伝統的な;【キ】東方正教会の
benzo	安息香	pejvo	【薬】安息香
evangeli	福音	pejvo	福音の,福音の教えにかなった;福音主義の,プロテスタントの
ald	中音	pejvo	{Ｏ}【楽】アルト,=kontralto;=aldoviolono（ビオラ）
mutaci	突变	pejvo	［自］突然変異する
s^into	神道	pejvo	【宗】（日本の）神道
centrifug	离心	pejvo	【理】遠心の,><centripeta
ameb	变形虫	pejvo	アメーバの
dogm	教条	pejvo	【宗】教義上の;《転》独断的な,有無を言わせない
sterol	固醇	piv	【化】【PIV】(kn (kolektiva nomo)) Steroido kun alkohola grupo:
masturb	手淫	pejvo	［他］（人に）手淫を行う
kvot	报价	pejvo	［他］【経】値をつける
spasm	抽筋	pejvo	けいれんの,けいれん性の;《転》発作的な
kramf	抽筋	pejvo	{Ｏ}【医】（痛みをともなう、筋肉の）けいれん（痙攣）,こむらがえり,>>spasmo,>>konvulsio
kari	蛀牙	pejvo	カリエスの;虫歯の
rekrut	征募	pejvo	［他］=>rekrutigi（徴募する）
koordinat	坐标	pejvo	【数】座標;【地理】経緯度
bufr	缓冲	pejvo	［他］【鉄】緩衝器でぶつかる;【化】緩衝液で処理する
ment	薄荷	pejvo	{Ｏ}【植】ハッカ（属）（薄荷）,ミント
unit	单位	pejvo	【学】単位,=unuo
kardinal	枢机	pejvo	{Ｏ}【カ】枢機卿
sintaks	句法	pejvo	統語論の;構文上の
troke	扬抑	pejvo	長短格の;強弱格の,揚抑格の
diktator	独裁	pejvo	独裁者の
parok	堂区	pejvo	小教区の
paroh^	堂区	pejvo	{Ｏ}=paroko（小教区）
fluks	通量	pejvo	【理】束（そく）,流束
gol	球门	pejvo	【運】ゴール（すること）,得点
galant	殷勤	pejvo	（女性に）親切な
pub	耻骨	pejvo	{Ｏ}【解】恥骨部;恥部,陰部
pubi	耻骨	piv	【解】【PIV】(os pubis) Antau^a parto de la koksosto. Sin. (sin
tetra	野鸡	pejvo	{Ｏ}【鳥】エゾライチョウ（蝦夷雷鳥）（種）,=bonazio
fazan	野鸡	pejvo	{Ｏ}【鳥】キジ（雉）（科の総称）
hipnot	催眠	pejvo	催眠性の;催眠術の
protez	假肢	pejvo	【医】人工装具の,補綴した
ure	尿素	pejvo	【化】尿素
aken	瘦果	piv	【植】【PIV】1 (ss (striktasence)) Seka frukto (precipe de la a
steril	不育	pejvo	不毛の,実りのない;（植物が）不稔の,実のならない;（人・動物が）不妊の,子ができない;【医】無菌の,滅菌した
ergot	麦角	pejvo	【植】麦角（ばっかく）;【鳥】蹴爪（けづめ）,=krurungo
iris	虹膜	pejvo	{Ｏ}【解】虹彩
reaktor	反应堆	pejvo	【化】反応装置;【理】原子炉;【空】ジェットエンジン,=reakcimotoro
ebur	象牙	pejvo	象牙の,象牙のような
korpus	军团	pejvo	{Ｏ}【軍】軍団
gajl	树瘤	pejvo	{Ｏ}【植】虫こぶ,ふし,没食子（もっしょくし）
admiral	提督	pejvo	{Ｏ}【軍】海軍大将,提督;海軍将官
idol	偶像	pejvo	{Ｏ}【宗】偶像,神像;《転》崇拝の的,アイドル
bankrot	破产	pejvo	{Ｏ}［自］【法】破産する;《転》破産する
asfalt	沥青	basic	［他］アスファルトで舗装する
pec^	沥青	pejvo	ピッチの,ピッチを塗った
bitum	沥青	pejvo	［他］瀝青で舗装する
cim	臭虫	pejvo	{Ｏ}【虫】ナンキンムシ（南京虫）;カメムシ（亀虫）の類
enzim	酵素	pejvo	【化】酵素
spontan	自发	pejvo	自発的な,自然に起こる,=spontanea
spontane	自发	pejvo	{Ｏ}自発的な,自然に起こる,自然発生的な;【植】自生の
au^tonom	自治	pejvo	{Ｏ}【政】自治の
au^tonomi	自治	pejvo	自立,自律性;=au^tonomeco
opi	鸦片	pejvo	{Ｏ}【化】アヘン（阿片）
teba	鸦片	piv	【PIV】(ark. (arkaismo, arkaisme)) Rilata al opio: tebaa pre
hemoragi	出血	pejvo	【医】出血性の
bilard	台球	pejvo	［自］ビリヤードをする
skerm	击剑	pejvo	{Ｏ}［自］フェンシングをする;剣術をする
inkandesk	白热	pejvo	【理】白熱の,白熱した
tan	制革	pejvo	{Ｏ}［他］（皮を）なめす;《転》打ちすえる
raket	火箭	pejvo	［自］（ロケットのように）飛び出す;噴き出る,わき出る
vektor	矢量	pejvo	【数】ベクトル,>>skalaro
impertinent	放肆	pejvo	{Ｏ}無礼な,厚かましい,生意気な
fok	海豹	pejvo	{Ｏ}【動】ゴマフアザラシ（属）;《般》アザラシ
krit	临界	pejvo	【理】臨界の,=sojla
difrakt	衍射	pejvo	［他］（光や波を）回折させる
niel	乌银	pejvo	［他］ニエロ象眼を施す
vulv	外阴	pejvo	陰門の,外陰部の
torped	鱼雷	pejvo	［他］【軍】魚雷攻撃する
sifilis	梅毒	pejvo	梅毒の
globin	珠蛋白	piv	【化】【生】【PIV】(kn (kolektiva nomo)) Globforma proteino, kombi
kanajl	恶棍	pejvo	{Ｏ}ごろつき,悪党
retin	网膜	pejvo	{Ｏ}【解】網膜
s^elk	背带	pejvo	{Ｏ}【服】ズボンつり,サスペンダー
s^akt	竖井	pejvo	【鉱】立て坑;（井戸のような）縦穴;【建】エレベーター通路
hidrau^lik	液压	pejvo	水力の;油圧の,水圧の;水硬性の
dizel	柴油	pejvo	【機】ディーゼル機関
duel	决斗	pejvo	［自］決闘する,果たし合いをする
grenad	手雷	pejvo	{Ｏ}【軍】擲弾（てきだん）,>>obuso;手榴弾（しゅりゅうだん）,=mangrenado
tromb	龙卷	pejvo	{Ｏ}【気】（水上の）竜巻;【医】血栓,>>embolo
fraj	鱼卵	pejvo	［自］【生】産卵する,>>ovumi
koktel	鸡尾酒	pejvo	【料】カクテル（酒）
trot	小跑	pejvo	{Ｏ}［自］（馬などが）速歩（はやあし）で駆ける,だくを踏む,>>ambli,>>galopi;（人が）ちょこまか歩
papaj	木瓜	pejvo	【植】パパイア
karik	木瓜	pejvo	【植】パパイヤ（属）,>>papajo;【植】=karekso（スゲ）
cidoni	木瓜	pejvo	{Ｏ}【植】マルメロ
siring	丁香	pejvo	{Ｏ}【植】ライラック,ハシドイ（属）
kariofil	丁香	pejvo	{Ｏ}【料】チョウジ（丁子）,クローブ
improviz	即兴	pejvo	即興で,即席で,アドリブで,>>senprepare
reu^mat	风湿	pejvo	【医】【PIV】Dolora kongesto, precipe c^e la artikoj.
apelaci	上诉	pejvo	{Ｏ}［自］訴える,>>alvoki;【法】控訴する,上告する
frivol	轻浮	pejvo	{Ｏ}軽はずみな,不まじめな;くだらない,つまらない
skist	片岩	pejvo	片岩の,片状の
ovari	卵巢	pejvo	【解】卵巣;【植】子房
endemi	地方	pejvo	ある地方に特有な;【医】風土病の
prud	假正	pejvo	とりすました,貞淑ぶった,かまととの
dok	船渠	pejvo	{Ｏ}【海】ドック,船渠
herez	异端	pejvo	異端の;異説の
marn	泥灰	pejvo	［他］【農】（畑に）泥灰土を施す
spark	火花	pejvo	【電】スパーク,電気火花
kompas	罗盘	pejvo	{Ｏ}【海】羅針盤,コンパス
hipokrit	伪善	pejvo	偽善の
diabet	糖尿	pejvo	糖尿病の
kancelari	办公	pejvo	{Ｏ}【政】官房;（大使館などの）事務局,記録保管室
krep	皱绸	pejvo	{Ｏ}【織】クレープ,縮緬（ちりめん）,縮み
prognoz	预测	pejvo	［他］予想する,予測する,予報する;【医】予後を判定する
trake	气管	pejvo	【解】気管,>>bronko;【虫】気管;【植】導管;=trah^eo
trah^e	气管	pejvo	{Ｏ}【解】気管,>>bronko;【虫】気管;【植】導管;=trakeo
vagin	阴道	pejvo	{Ｏ}【解】膣（ちつ）,ワギナ
orden	修会	pejvo	［他］叙勲する
plastid	质体	piv	【生】【植】【PIV】Organeto de vegetaj^aj c^eloj, kun duobla membr
privilegi	特权	pejvo	特権の,特権を有する
permitiv	介电	pejvo	【理】誘電率
dielektrik	介电	pejvo	【理】誘電の,誘電性の
fisk	国库	pejvo	国庫の;国税の
tar	皮重	pejvo	風袋（ふうたい）（包装容器の重量）
tartr	酒石	pejvo	【化】酒石;【医】歯石,=dentos^tono
indig^en	土著	pejvo	土着の;【生】自生の
algebr	代数	pejvo	{Ｏ}代数学
skab	疮疤	piv	【植】【PIV】Plantmalsano, kau^zata de iuj bakterioj k fungoj, 
sugesti	暗示	pejvo	（催眠術的な）暗示の,暗示にかける
fluoresk	荧光	pejvo	蛍光の
kript	墓窖	pejvo	地下墓室の
kulot	短裤	pejvo	【服】半ズボン;【史】キュロット（ぴったりした膝丈の半ズボン）
s^ort	短裤	piv	【服】【PIV】Mallonga kuloto, plejofte el tolo, nilono ks (kaj 
pirat	海盗	pejvo	海賊の
sifon	虹吸	pejvo	サイフォンの
hamstr	仓鼠	pejvo	［他］（大量に）ため込む,買いだめする
eksponent	指数	pejvo	【数】指数
kil	龙骨	pejvo	{Ｏ}【海】キール,竜骨
karen	龙骨	pejvo	竜骨形の
kanonik	会士	pejvo	{Ｏ}【キ】教会参事会員
marc^and	讲价	pejvo	{Ｏ}［自］値切る,値引き交渉する
fondus	基金	pejvo	【経】基金,財団,=fondaj^o
sukur	急救	piv	【医】【PIV】(tr (transitiva)) Doni la unuan helpon k flegon al
stres	压力	piv	【生】【心】【PIV】1 Akuta fiziologia k psikologia reago de vivulo
folklor	民俗	pejvo	{Ｏ}民俗,民間伝承,フォークロア;民俗学
duk	公爵	pejvo	{Ｏ}公爵,>>markizo,>>princo
zodiak	黄道	pejvo	黄道帯の
deprim	沮丧	pejvo	意気消沈させる
framason	共济会	pejvo	フリーメーソンの
uzur	高利	pejvo	高利の
agav	龙舌兰	pejvo	リュウゼツランの
hoke	曲棍球	pejvo	【運】ホッケー
lagun	泻湖	pejvo	{Ｏ}【地理】潟（かた）,潟湖（せきこ）;（環礁で囲まれた）礁湖
endokrin	内分泌	pejvo	【医】内分泌の,=sendukta
ezofag	食管	pejvo	{Ｏ}【解】食道
fuze	引信	pejvo	【軍】（砲弾の）信管
defi	挑战	pejvo	{Ｏ}［他］挑戦する,いどむ;公然と反抗する,平然と無視する,ものともしない
fuz	信管	pejvo	［自］【化】（火薬が）爆発せずに燃焼する
klostr	修院	pejvo	【建】（修道院の中庭を囲む屋根付きの）回廊;【キ】修道院
infloresk	花序	pejvo	【植】花序
metabol	代谢	pejvo	【生】物質代謝,物質交代
gangren	坏死	pejvo	［他］=gangrenigi（壊疽に陥らせる）
kast	种姓	pejvo	{Ｏ}（インドの）カースト;《転》世襲的社会階級,身分
kateh^iz	教理	pejvo	{Ｏ}［他］=katekizi（問答で教える）
glis	滑翔	pejvo	{Ｏ}［自］【空】滑空する
klorofil	叶绿	pejvo	【植】葉緑素
afrodizi	催情	pejvo	【医】性的興奮,性欲
halter	哑铃	pejvo	［自］【運】ダンベル体操をする;重量挙げをする
tenor	男高音	pejvo	テノールの
leksik	词汇	pejvo	【語】【PIV】Tuto de la leksemoj de lingvo.
integral	积分	pejvo	【数】積分の
kontuz	挫伤	pejvo	{Ｏ}［他］打撲傷を与える
diakon	助祭	pejvo	{Ｏ}【キ】（カトリックの）助祭;（プロテスタントの）執事
anarki	无政	pejvo	無政府の,無政府状態の
krank	曲柄	pejvo	【機】クランク
eu^tanazi	安乐死	pejvo	［他］【医】安楽死させる
intuici	直觉	pejvo	直感的な;勘の鋭い;【学】直観的な,><diskursiva
h^oler	霍乱	pejvo	{Ｏ}【病】コレラ
fav	黄癣	pejvo	黄癬の
rektum	直肠	pejvo	【解】直腸
meduz	水母	pejvo	{Ｏ}【動】クラゲ（海月・水母）
zom	变焦	pejvo	［自］【空】急上昇する;【映】ズームする
reg^isor	导演	pejvo	［他］【劇】【映】演出する,=enscenigi
