root	kanji	band	gloss
tars	足根	pejvo	【解】足根骨;【虫】ふ節
adolesk	青春	pejvo	［自］【医】青年期にある,思春期にある
latir	香豌豆	pejvo	【植】レンリソウ（属）
sopran	女高音	pejvo	ソプラノの
parafin	石蜡	pejvo	［他］パラフィンを塗る
magm	岩浆	pejvo	【地質】マグマの;火成の
kromosom	染色体	pejvo	{Ｏ}【生】染色体
hermafrodit	两性	pejvo	=ambau^seksa,両性具有の,半陰陽の;【動】雌雄同体の;【植】両性花の
fosili	化石	pejvo	化石の
glim	云母	pejvo	［自］（雲母のように）きらきら光る
evaku	疏散	pejvo	［他］【軍】撤退する,撤兵する;立ち退かせる,引き揚げさせる
kapilar	毛细	pejvo	【理】毛管の,毛細の;【解】毛細血管の
interval	间隔	pejvo	【楽】音程;【数】区間
step	草原	pejvo	{Ｏ}【地理】ステップ（大草原）
preri	草原	pejvo	【地理】【PIV】C^iu el la vastaj ebenaj^oj de N-Ameriko, iam kov
trust	垄断	pejvo	［他］【経】トラストで独占する
jugland	核桃	pejvo	{Ｏ}【果】クルミ（胡桃）;【植】クルミ（属）,=juglandarbo
narcis	水仙	pejvo	{Ｏ}【植】スイセン（水仙）（属）
abat	院长	pejvo	{Ｏ}【キ】修道院長,大修道院長,>>prioro
prior	院长	pejvo	{Ｏ}【キ】小修道院長;（大修道院の）副院長,>>abato
ftiz	结核	pejvo	{Ｏ}【病】肺結核,>>tuberkulozo
skrofol	结核	pejvo	{Ｏ}【病】るいれき（瘰癧）,頸部リンパ節結核
kapitel	柱头	pejvo	{Ｏ}【建】柱頭
ribosom	核糖体	piv	【生】【PIV】Enc^ela, submikroskopa grajneto, konsistanta el ri
konstip	便秘	pejvo	便秘を引き起こす
timpan	鼓膜	pejvo	【解】鼓室,中耳;【建】ティンパヌム,三角小間;【楽】=timbalo（ティンパニ）
miring	鼓膜	piv	【解】【PIV】Timpana membrano (membrana tympani): la miringo tr
kalandr	压光	pejvo	［他］【機】（紙・布を）光沢機にかける,つや出し加工する
mortez	卯眼	pejvo	［他］【建】ほぞ穴をくる
metan	沼气	pejvo	【化】メタン
cedrat	香柑	pejvo	【果】シトロン,ブシュカン（仏手柑）
bergamot	香柑	pejvo	【植】ベルガモット（オレンジの一種）
nap	油菜	pejvo	{Ｏ}【農】カブ,カブラ（蕪）,=rapo;【植】セイヨウアブラナ（種）
kolz	油菜	pejvo	{Ｏ}【植】（セイヨウ）アブラナ,=oleonapo;《般》菜の花
anemi	贫血	pejvo	貧血の,貧血症の,=sangomanka
kalabas	葫芦	pejvo	【植】ヒョウタンノキ,フクベノキ;【植】ヒョウタン;【果】ヒョウタン（瓢箪）,=kalabaskukurbo
amfibi	两栖	pejvo	両生類の;水陸両用の
genetik	遗传	pejvo	遺伝学の,遺伝の;=gena（遺伝子の）
kvarc	石英	pejvo	石英の,水晶の,クオーツの
talp	地鼠	pejvo	モグラの;モグラのような
kobold	精灵	pejvo	{Ｏ}コボルト（いたずら好きの小さな妖精）;《転》いたずらっ子
estetik	美学	pejvo	美学的な;審美的な
simbioz	共生	pejvo	【生】共生の
grafit	石墨	pejvo	{Ｏ}【鉱】黒鉛,石墨
drag	挖泥	pejvo	［他］浚渫（しゅんせつ）する
galer	桨船	pejvo	{Ｏ}【史】ガレー船;《転》苦役
asembl	汇编	pejvo	【情】【PIV】(tr (transitiva)) Traduki al mas^inlingvo programo
karo	方块	pejvo	{Ｏ}【遊】（トランプの）ダイヤ
tribord	右边	pejvo	右舷に
violonc^el	大提琴	pejvo	［自］チェロを演奏する
diafragm	光圈	pejvo	［自］【写】（レンズを）絞る
peg	啄木	pejvo	{Ｏ}【鳥】キツツキ（啄木鳥）（科の総称）;アオゲラ（緑啄木鳥）（属）
grif	狮鹰	pejvo	【神】グリュプス,グリフォン（頭と翼が鷲で胴体がライオンである怪獣）;【鳥】ハゲタカの類（通称）,>>vulturo
stomp	晕染	pejvo	［他］擦筆でぼかす;ぼかす
prunel	野李	pejvo	{Ｏ}【果】スピノサスモモの実
trole	触轮	pejvo	【交】トロリー,触輪
arkitekt	建筑	pejvo	{Ｏ}建築家
arkitektur	建筑	pejvo	{Ｏ}建築術,建築学;建築様式
top	帆楼	pejvo	【海】トップ,檣楼（しょうろう）
absint	苦艾	pejvo	{Ｏ}【植】ニガヨモギ（苦艾）（種）;=absinta likvoro（アブサン）
geril	游击	pejvo	［自］【軍】ゲリラ戦をする
orgi	纵欲	pejvo	{Ｏ}乱痴気騒ぎ,酒池肉林の大饗宴;【史】バッカス祭
kartilag	软骨	pejvo	【解】軟骨の,軟骨性の
kondr	软骨	piv	【医】【地質】【PIV】1 Kartilago (en kunmetaj^oj). 2 Minerala grajn
timon	车杆	pejvo	{Ｏ}（牛馬につなぐ）かじ棒,ながえ（轅）
anten	触角	pejvo	{Ｏ}【虫】触角;【通】アンテナ
aline	换行	pejvo	［自］【印】改行する
delt	三角洲	pejvo	{Ｏ}【地理】三角洲;デルタ（ギリシア文字Δ，δ）
faks	传真	pejvo	［他］ファックスで送る,=telekopii
konfekci	成衣	pejvo	既製服の,=pretkudrita
babord	船左	pejvo	左舷に
skorbut	坏血	pejvo	壊血病の
kapok	木棉	pejvo	【植】カポック,パンヤ綿（クッション・救命胴衣の詰め物にする）
bombak	木棉	piv	【植】【PIV】G. (Genro) (Bombax el bombakacoj) de arboj kun man
striptiz	脱衣舞	piv	【PIV】Nudrivela senvestig^a danco.
hum	腐土	pejvo	{Ｏ}【農】腐植土;《般》庭土
smerald	绿玉	pejvo	エメラルドの
larik	落松	pejvo	{Ｏ}【植】カラマツ（属）
efloresk	风化	pejvo	風解の,風解した;風化の,風化した
notari	公证	pejvo	公証人の;公証人が作成した
kremaci	火葬	pejvo	［他］火葬する,>>cindrigi
amalgam	汞齐	pejvo	［他］（〜の）アマルガムを作る
klitor	阴蒂	pejvo	{Ｏ}【解】陰核,クリトリス
variete	杂耍	pejvo	バラエティーの,寄席の
koroid	脉膜	pejvo	【解】脈絡膜
albumin	白蛋白	pejvo	【化】アルブミン
kapel	祈堂	pejvo	{Ｏ}【キ】チャペル,礼拝堂;礼拝室
arke	方舟	pejvo	【聖】（ノアの）箱船
gang	脉石	pejvo	【地質】脈石（みゃくせき）,=c^irkau^minaj^o
insulin	胰岛素	pejvo	{Ｏ}【生】インシュリン,インスリン
defil	分列	pejvo	［自］【軍】縦列行進する,分列行進する
apendic	虫垂	pejvo	付録;【解】虫垂,>>cekumo
prostat	前列	pejvo	{Ｏ}【解】前立腺
dializ	透析	pejvo	［他］【化】透析する
avel	坚果	pejvo	{Ｏ}【果】ハシバミの実,ヘーゼルナッツ
centripet	向心	pejvo	【理】求心の,向心の,><centrifuga
labirint	迷宫	pejvo	迷路の,（迷路のように）入り組んだ
sodomi	肛交	pejvo	［他］肛門性交を行う,=anuse seksumi
bugr	肛交	piv	【PIV】(tr (transitiva)) (fm (familiara, familiare)) Sodomii
retorik	修辞	pejvo	修辞の,修辞上の
aj^ur	透空	pejvo	【服】透かしの入った;【建】すかし細工の
hosti	圣饼	pejvo	{Ｏ}【キ】聖体のパン,オスチヤ
naft	原油	pejvo	{Ｏ}【化】ナフサ;《般》原油,=kruda petrolo
balast	压舱	pejvo	［他］【海】バラストを積む
dedukt	演绎	pejvo	【哲】演繹的
katec^u	儿茶	piv	【PIV】1 Ekstrakto el la ligno de katec^uakacio, uzata por t
tampon	棉塞	pejvo	【医】【PIV】Sterilizita vatbulo, cilindra kompreso ks (kaj sim
jul	圣诞	pejvo	【PIV】Forta remilo, kiun oni uzas per tordaj movoj c^e la p
karamel	焦糖	pejvo	{Ｏ}【料】カラメル
sekvestr	查封	pejvo	［他］【法】（係争物を第三者に）供託する,強制管理する,仮処分する
akrobat	杂技	pejvo	アクロバットの,曲芸的な
trol	拖网	pejvo	【海】トロール網（漁業）
drup	核果	pejvo	【植】石果（せきか）（ウメ、モモなど堅い核をもつ多肉果）,=kernofrukto
armatur	配筋	pejvo	［他］【建】鉄筋を入れる
kalvari	受难	pejvo	【キ】キリストはりつけの像;【解】頭蓋冠
tuberkulin	结核素	pejvo	【化】ツベルクリン
margarin	人造油	pejvo	［他］マーガリンを塗る
anabol	合成	piv	【生】【PIV】Tuto de la procezoj de konstruo de protoplasmo far
infanteri	步兵	pejvo	{Ｏ}【軍】歩兵隊
monark	君主	pejvo	{Ｏ}（王・皇帝などの）君主,帝王
monarki	君主	pejvo	{Ｏ}君主制,君主政治,王政;君主国
h^ord	脊索	piv	【動】【PIV】(chorda dorsalis) Kartilageca kordo, formanta la b
muar	波纹	pejvo	波形模様のついた
bigot	偏执	pejvo	信心家ぶった,偽善的な,信心に凝り固まった,偏狭な
paranoj	偏执	pejvo	【病】偏執病,妄想症,パラノイア;>>monomanio
pretor	法官	piv	【史】【PIV】C^e la Romanoj, c^iu neelektita altranga oficisto,
vermic^el	粉丝	pejvo	{Ｏ}【料】バーミセリ（スパゲッティより細い）;細めん,>>nudelo,>>spageto
particip	分词	pejvo	{Ｏ}【Ｇ】分詞
sabot	破坏	pejvo	［他］（意図的に）破壊する,妨害する;（仕事を）ぞんざいに行う,手抜きする
teni	条虫	pejvo	{Ｏ}【動】ジョウチュウ（条虫）,サナダムシ（真田虫）
koincid	巧合	pejvo	{Ｏ}［自］同時に起こる;一致する,符合する;【数】一致する
glot	声门	pejvo	【解】声門
mirt	香桃	pejvo	{Ｏ}【植】ギンバイカ（銀梅花）（属）,ミルテ（アフロディテの神木とされる）
sau^r	爬虫	piv	【動】【PIV】Kn (Kolektiva nomo) de reptilioj eksklude de la te
kontraband	走私	pejvo	［他］密輸入する;密輸する
pic^	阴户	pejvo	《俗》=vulvo（陰門）
insil	窖藏	piv	【PIV】(tr (transitiva)) Konservi furag^on tiel, ke g^i rest
opal	蛋白石	pejvo	{Ｏ}【鉱】オパール,タンパク石
trombon	长号	pejvo	{Ｏ}【楽】トロンボーン
mening	脑膜	pejvo	【解】髄膜
klerik	教士	pejvo	聖職者の
artileri	炮兵	pejvo	{Ｏ}【軍】砲,大砲;砲兵隊
gamet	配子	piv	【生】【PIV】Seksa c^elo (tipe unuploida), destinita unuig^i ku
puli	滑轮	pejvo	【機】滑車,プーリー
ekzorc	驱魔	pejvo	［他］【宗】（悪魔・悪霊を）追い払う
ekin	海胆	pejvo	【動】ウニ,=markas^tano
eh^in	海胆	piv	【PIV】= ekino.
bajonet	刺刀	pejvo	{Ｏ}【軍】銃剣
servir	发球	piv	【PIV】La komenca bato c^e pilkludoj kiel teniso, tablotenis
komuni	圣餐	pejvo	{Ｏ}［他］【キ】聖餐を授ける,聖体を授ける
eu^karisti	圣餐	pejvo	{Ｏ}【キ】（カトリックで）聖体の秘蹟（ひせき）,（プロテスタントで）聖餐（せいさん）
mitral	机枪	pejvo	【軍】機関銃,=mas^inpafilo
doktrin	教义	pejvo	教義上の,学説上の
dekolt	低领	pejvo	{Ｏ}［他］【服】（胸・肩などを大きく）くる;肩（胸・背中）をあらわにする
prism	棱镜	pejvo	角柱の;プリズムの
konjunktur	景气	pejvo	【経】市況,商況,景気
cinik	冷笑	pejvo	{Ｏ}冷笑的な,世をすねた;【哲】犬儒（キニク）学派の
periferi	周边	pejvo	【数】周囲の;《般》周辺の,
edif	教化	pejvo	教化のための,教訓的な,ためになる
pigment	色素	pejvo	［他］顔料で着色する
dekant	倾析	pejvo	［他］（ワインなどを）デカントする,上ずみを移しとる
romantik	浪漫	pejvo	{Ｏ}ロマン主義の,ロマン派の;ロマンチックな
konkub	内缘	pejvo	内縁の夫,男めかけ,>>kromviro
j^ud	柔道	pejvo	{Ｏ}【運】柔道
tekton	硬木	piv	【植】【PIV】1 G. (Genro) (Tectona el verbenacoj) de 4 sp-oj (s
kac	阳具	piv	【PIV】(fm (familiara, familiare)) Peniso: nur « kaco» tau^g
falus	阳具	piv	【神】【PIV】1 Prezento de erekta peniso, kiel simb. (simbolo) 
gilos^	编纹	pejvo	［他］編み縄模様を彫る
radius	半径	pejvo	【数】半径の;【解】橈骨の
s^unt	分流	pejvo	［他］分流させる,分路をつける
aplanat	无差	pejvo	【理】【写】不遊の,（球面収差のない）無収差の
vener	性病	pejvo	【病】性病の,=seksmalsana
akaci	金合欢	pejvo	{Ｏ}【植】アカシア（属）
globul	血球	pejvo	【解】=sangoc^elo（血球）
akaj^u	腰果	pejvo	【果】カシューの果実
sezam	芝麻	pejvo	【植】ゴマ（胡麻）（属）;【料】ごま（ゴマの種子）;《転》（成功へ導く）魔法の言葉（開けゴマ）
amplifik	增幅	pejvo	［他］【理】増幅する
kastr	去势	pejvo	{Ｏ}［他］去勢する
salping	卵管	pejvo	【解】卵管,=ovodukto
snob	势利	pejvo	スノッブな,上流ぶった,俗物の
paled	托盘	pejvo	【機】パレット（荷役用のすのこ状の台）,荷運び台
despot	专制	pejvo	専制的な,独裁的な;横暴な
eklektik	折衷	pejvo	取捨選択する,良いとこどりの;折衷的な
glac^er	冰川	piv	【地理】【地質】【PIV】Grandega eterna maso de glacio, devenanta el 
lab	皱胃	piv	【PIV】1 = abomaso. 2 La membrano de la stomako de la mamulo
glicerin	甘油	pejvo	［他］グリセリンを塗る
glicerol	甘油	pejvo	【化】グリセロール,=glicerino
glicer	甘油	piv	【化】【PIV】Radiko, CH 2 OH-CHOH-CH 2 -, de glicerolo (en kunm
observatori	天文台	pejvo	{Ｏ}観測所,天文台,気象台
premis	前提	pejvo	［他］前提とする
jogurt	酸乳	pejvo	【料】ヨーグルト,ヤクルト,>>jahurto
ardez	板岩	pejvo	{Ｏ}【鉱】粘板岩;石盤
cedr	雪松	pejvo	{Ｏ}【植】ヒマラヤスギ属;セイヨウスギ,シーダー
diagnoz	诊断	pejvo	［他］【医】診断する
relikv	遗物	pejvo	【宗】聖遺物;（聖者の）遺骨,遺品,=sanktrestaj^o;【生】遺存種,残存生物
cintr	拱架	piv	【PIV】Provizora helpc^arpentaj^o, konsistanta el trabaro k 
agnostik	不可知	pejvo	【哲】【PIV】Rilata al agnostikismo.
vanil	香兰	pejvo	［他］【料】バニラの香りをつける
araknoid	蛛膜	pejvo	【解】クモ膜,>>duramatro
spindel	纺锤	pejvo	【機】スピンドル
dut	二度	pejvo	【楽】二度音程
gingiv	牙肉	pejvo	【解】歯肉,歯茎,=dentokarno
artez	自流	pejvo	【地理】掘抜きの
oniks	玛瑙	pejvo	{Ｏ}【鉱】シマメノウ（縞瑪瑙）,オニックス
kalend	初一	pejvo	（古代ローマ暦の）ついたち,月の第一日
vampir	吸血鬼	pejvo	{Ｏ}吸血鬼;【動】チスイコウモリモドキ,>>desmodo;《転》非情な搾取者
kuret	刮匙	piv	【医】【PIV】Speco de akra kulero, uzata en kirurgio por prakti
kodon	密码子	piv	【生】【PIV】Unuo de gena informo, konsistanta el triopo da nuk
trace	轴线	piv	【技】【PIV】Akso de projektita vojo au^ fervojo, desegnita sur
pustul	脓泡	pejvo	膿疱の,膿庖のできた
cikut	毒芹	pejvo	{Ｏ}【植】ドクゼリ（属）;ドクニンジンの毒
karob	角豆	pejvo	{Ｏ}【果】イナゴマメ（の実）
kaligraf	书法	piv	【PIV】Artisto pri kaligrafio.
erik	石南	pejvo	{Ｏ}【植】エリカ（属）,ヒース
fau^lt	断层	piv	【地質】【PIV】Rezulto de pli-malpli profunda rompig^o de tereno
biceps	二头肌	pejvo	【解】二頭筋
peruk	假发	pejvo	{Ｏ}かつら（鬘）
glutam	谷氨	piv	【化】【PIV】Radiko de glutamata acido (en kunmetaj^oj).
punkci	穿刺	pejvo	［他］【医】穿刺（せんし）する
granit	花岗岩	pejvo	花崗岩の,御影石でできた;《転》固い
limon	柠檬	pejvo	【果】レモン,>>citrono
makadam	碎石	pejvo	［他］マカダムで舗装する
sutur	缝合	piv	【医】【PIV】1 Ago kunkudri la du randojn de vundo k rezulto de
induktanc	电感	pejvo	【理】インダクタンス
oktav	八度	pejvo	{Ｏ}【楽】オクターブ;【印】八つ折版
okt	八度	piv	【楽】【PIV】Intervalo inter ok tonoj en diatona gamo (frekvenc
gres	牧草	pejvo	牧草,芝草,>>herbo
medikag	牧草	pejvo	【植】ウマゴヤシ（属）,>>luzerno
basbal	棒球	pejvo	【運】野球,=bazopilko
puritan	清教	pejvo	清教徒の;《転》清教徒のような,堅苦しい
prepuci	包皮	pejvo	【解】包皮
metro	地铁	pejvo	【交】地下鉄
onk	肿瘤	piv	【医】【PIV】Tumoro, precipe maligna.
nic^	壁凹	pejvo	{Ｏ}【建】壁がん,ニッチ;【環】生態的地位
inkvizici	审判	pejvo	{Ｏ}【史】異端審問,宗教裁判;異端審問所,宗教裁判所
prepost	主祭	pejvo	【キ】主任司祭,>>parokestro
pontifik	主祭	pejvo	【史】（古代ローマの）大神官;【カ】高位聖職者（司教・枢機卿など）
eritrocit	红胞	pejvo	【解】=rug^a sangoc^elo（赤血球）
korelaci	相关	pejvo	【PIV】1 Mezuro de interrilato inter du stokastaj variabloj.
korelativ	相关	pejvo	{Ｏ}相関的な
celom	体腔	piv	【動】【PIV】Korpa kavo c^e la plimulto de animaloj, en kiu tro
empir	帝风	pejvo	【芸】アンピール様式（ナポレオン帝政期に流行した古典風の家具・装飾様式）
zebr	斑马	pejvo	{Ｏ}【動】シマウマ（縞馬）
pis^t	活塞	pejvo	{Ｏ}【機】ピストン
batu	围猎	piv	【PIV】Amasc^asado de bestoj, en kiu servistoj pelas ilin el
cefalaspid	头甲	piv	【動】【PIV】G. (Genro) (Cephalaspis) de fosiliaj senmakzeluloj
s^rot	粗粉	piv	【PIV】Interprodukto de muelado (pistado) de grajnoj; furag^
trad	信风	pejvo	【気】貿易風
alize	信风	piv	【PIV】Iu el la ventoj, kiuj regule blovas tra la tuta jaro 
renesanc	复兴	pejvo	ルネサンスの,ルネサンス様式の
kardan	万向	pejvo	【機】カルダン懸架装置
amorfofal	魔芋	pejvo	【植】コンニャク（蒟蒻）
duoden	十二指肠	pejvo	【解】十二指腸,>>maldika intesto
karoten	萝卜素	piv	【化】【PIV】Orang^kolora lipido, C 40 H 56, tetraterpeno, tre 
fetic^	物神	pejvo	{Ｏ}【宗】物神,呪物（じゅぶつ）;迷信的崇拝の対象;【心】フェティッシュ
spiril	螺菌	pejvo	【生】スピルリム,らせん菌
gavi	潜鸟	pejvo	【鳥】=kolimbo（アビ）
greb	潜鸟	piv	【動】【PIV】Podicipo k parencaj g-oj (genroj), akvolog^aj.
podicip	潜鸟	piv	【動】【PIV】G. (Genro) (Podiceps) de akvolog^aj birdoj, kies k
parodi	戏仿	pejvo	［他］パロディー化する,もじる
travesti	戏仿	pejvo	［他］（文学作品を）もじる,茶化す;仮装する
katastr	地籍	pejvo	［他］地籍調査する,土地台帳に記載する
s^agrin	鲨皮	pejvo	粒起革の;さめ皮の;さめ肌の
krisol	熔锅	pejvo	【化】るつぼ,=fandvazo
atut	王牌	pejvo	［自］【遊】切り札を出す
forniks	脑弓	pejvo	【解】円蓋（えんがい）
krop	食袋	pejvo	{Ｏ}【鳥】そ嚢（のう）;【病】=strumo（甲状腺腫）
ananas	菠萝	pejvo	{Ｏ}【果】パイナップル
skafandr	潜衣	pejvo	【海】（ヘルメット付きの）潜水服
knik	座屈	piv	【技】【PIV】(ntr (netransitiva)) (pp (se paroli pri) fosto au^
remork	拖车	piv	【PIV】1 S^ipo, barko, barg^o, trenata de motors^ipo. Vd tre
c^ambelan	侍臣	pejvo	{Ｏ}侍従,家令
verdigr	铜绿	pejvo	緑青をふいた
tempi	侧头	pejvo	{Ｏ}【解】側頭,こめかみ
bagag^	行李	pejvo	（旅行者の）手荷物,=pakaj^o
introspekt	内省	pejvo	内観の,内省的な
brig	双帆船	pejvo	【海】ブリッグ（２本マストに横帆を張った小型帆船）,>>brigeto,>>skuno
gliciriz	甘草	pejvo	{Ｏ}【植】カンゾウ（甘草）（属）
tabet	脊髓病	piv	【医】【PIV】Sifilisa afekcio, kiun karakterizas sklerozo de la
cekum	盲肠	pejvo	【解】盲腸
tau^tomer	互变	piv	【化】【PIV】Izomero, kiu tre facile k reverseble formig^as el 
parotid	腮腺	pejvo	【解】【PIV】La plej granda el la salivaj glandoj, situanta ant
mercer	针线	pejvo	小間物,服飾雑貨,手芸用品,>>galanterio
procelari	海燕	piv	【動】【PIV】G. (Genro) (Procellaria) de malgrandaj, hirundsimi
kist	囊肿	pejvo	【医】嚢胞（のうほう）,嚢腫（のうしゅ）
pteraspid	翼甲	piv	【動】【PIV】G. (Genro) (Pteraspis) de fosiliaj senmakzeluloj e
racem	消旋	piv	【化】【PIV】(pp (se paroli pri) miksaj^o) Egalparte konsistant
molusk	软体	pejvo	{Ｏ}【動】軟体動物
ladan	香脂	piv	【植】【PIV】Aroma gumo, liverita de la folioj k tigoj de ladan
klis^	铸版	pejvo	{Ｏ}［他］【印】ステロ版にとる
napalm	凝油	pejvo	【軍】ナパーム（焼夷弾用の燃料）
penis	阴茎	pejvo	{Ｏ}【解】陰茎,ペニス
sensaci	轰动	pejvo	扇情的な,世間を驚かせる,センセーショナルな
iredent	待收	pejvo	【史】（領土が）未回収の
kalistegi	旋花	pejvo	【植】ヒルガオ（属）,>>konvolvulo
lami	野芝麻	pejvo	【植】オドリコソウ（属）;【神】ラミア（ギリシア神話の魔女，人を食い子供の血を吸う）
gumigut	藤黄	pejvo	ガンボージ,藤黄（とうおう）（黄色樹脂）
arakid	花生	pejvo	【植】ラッカセイ（落花生）（属）,>>ternukso
sarkom	肉瘤	piv	【医】【PIV】Maligna tumoro, evoluinta el konektivo: ostosarkom
galon	饰带	pejvo	［他］飾りひもをつける
pasament	饰带	pejvo	［他］（衣服や家具などに）飾りひもをつける
gonokok	淋菌	pejvo	【医】淋菌（りんきん）
brankard	担架	pejvo	【医】担架
svelt	苗条	pejvo	すらりとした,すんなりとした,ほっそりした,=elegante maldika
hajk	短诗	pejvo	【文】俳句
tranc	附身	pejvo	［自］（霊媒が）神がかり状態である
izotop	同位素	pejvo	【理】【化】同位体の
papirus	纸草	pejvo	{Ｏ}【植】パピルス（種）;【史】パピルス紙;パピルス文書
papir	纸草	piv	【解】【PIV】Papiruso (en kunmetaj^oj): papireca lameno.
bordel	妓院	pejvo	{Ｏ}売春宿,=prostituejo,=malc^astejo
meleagr	火鸡	pejvo	{Ｏ}【鳥】シチメンチョウ（属）（七面鳥）
globulin	球蛋白	piv	【生】【化】【PIV】(kn (kolektiva nomo)) Proteino kun pli-malpli g
kiv	猴桃	pejvo	《Ｎ》【果】キウイ
aktinidi	猴桃	piv	【植】【PIV】G. (Genro) (Actinidia el aktinidiacoj) de dioikaj 
meger	悍妇	pejvo	性悪女,意地悪女
prestidigit	戏法	pejvo	［自］手品をする
j^argon	黑话	pejvo	［自］ジャーゴンで話す,わけの分からない話し方をする
kopul	交配	piv	【生】【PIV】(ntr (netransitiva)) Fari kopuladon inter si.
trigon	三角	piv	【解】【PIV】Triangula anatomia elemento: olfakta trigono (trig
ektopi	异位	pejvo	【解】（器官の）転位
trepan	钻颅	pejvo	［他］【医】（頭骨を）穿孔する
jakv	菠萝蜜	piv	【植】【PIV】Frukto (s^ajnfrukto) de jakvarbo.
facet	刻面	pejvo	［他］切り子面を刻む
kolesterol	胆醇	pejvo	【化】コレステロール
arbut	红果	pejvo	【果】アルブツスの実（ヘビイチゴに似た赤く丸い果実で、ジャムや果実酒に利用される）
hipofiz	垂体	piv	【解】【PIV】(hypophysis) Grava endokrina glando, situanta sub 
bent	底栖	piv	【生態】【PIV】Vivularo de la fundo de maro au^ lago. Vd pelago.
serpenten	蛇纹石	piv	【地質】【PIV】(kn (kolektiva nomo)) Mineralo el magnezia, monok
uzukap	时效	pejvo	［他］【法】（〜の所有権を）時効取得する
preskript	时效	pejvo	【法】時効,>>uzukapo
somnambul	梦游	pejvo	［自］夢遊する
stokast	随机	piv	【PIV】1 Matematika modelo por aleatoraj eksperimentoj. 2 (p
domicil	住所	pejvo	【法】（登録された）住所;本籍
meridian	子午	pejvo	{Ｏ}【天】子午線
kaolin	瓷土	pejvo	カオリンの,カオリン製の
diamagnet	反磁	pejvo	【理】反磁性体の,>>paramagneta
tarz	眼板	piv	【解】【PIV】Fibreca lameno, kvazau^skeleto de la palpebra rand
ur	原牛	pejvo	{Ｏ}【動】オーロックス（17世紀に絶滅したヨーロッパ産野牛）,原牛（げんぎゅう）
misil	导弹	pejvo	【軍】ミサイル
briz	微风	pejvo	そよ風;【気】和風,疾風,雄風（風力階級４〜６）,>>zefiro
zefir	微风	pejvo	{Ｏ}そよ風;（ヨーロッパの）西風;【気】軽風（けいふう）（風力階級２）,>>brizo
ranc	哈喇	pejvo	{Ｏ}（油脂が）酸敗した,すえた,悪臭のする,嫌な味のする
irigaci	水渠	pejvo	［他］灌漑（かんがい）する
karmin	洋红	pejvo	洋紅色の
