char	root	gloss
差	aberaci	光行差;収差
杉	abi	モミ（樅）（属）
渊	abism	深淵（しんえん）の,底知れないほど深い;深海の
堕	abort	［他］流産する;［自］《転》中止になる
绝	absolut	絶対の,無条件の,完全な,全くの,>>senkondic^a,>>perfekta
戒	abstin	節制した,禁欲している;精進の
谬	absurd	非常識な,不合理な;ばかげた,ばかばかしい;不条理な
丰	abund	有り余るほどの,豊富な,>>ric^a
劣	ac^	粗悪な,つまらない,いやしい,下品な
买	ac^et	［他］買う,購入する;=subac^eti（買収する）
枫	acer	カエデ（楓）（属）
酸	acid	酢酸
状	adjekt	状況副詞節
佩	admir	［他］感嘆する,賛美する;敬服する,感心する
劝	admon	［他］言い聞かせる,勧告する,強く勧める;戒める,訓戒する,説諭する,叱責する
址	adres	絶対アドレス,絶対番地
涩	adstring	収斂性の;=adstringagusta（渋い）
善	afabl	愛想のよい,親切な;ものやわらかな,ていねいな;使いやすい,ユーザーフレンドリーな
岁	ag^	年齢の;年をとった,>>maljuna
搅	agit	［他］（激しく）揺り動かす,動揺させる,かきたてる;扇動する,あおり立てる;かき回す,撹拌する
蒜	ajl	にんにくを含む;にんにく臭い,にんにく味の
受	akcept	［他］受入れる,受理する;迎え入れる;容認する
祸	akcident	事故の;偶発的な
陪	akompan	［他］同行する;伴奏する
腋	aksel	腋（わき）の下;葉腋（ようえき）
演	aktor	［自］演技する
累	akumul	累積度数分布
宾	akuzativ	対格の
别	ali	ほかの,別の,その他の;もう一つの
醇	alkohol	無水アルコール
施	almoz	=almozpeti
峰	alp	ミネズオウ（峰蘇芳）（種）
柴	alumet	マッチ
铝	alumini	アルミニウム
堆	amas	大量の
两	ambau^	
踱	ambl	［自］側対歩で進む,>>galopi,>>troti
友	amik	友達の,友好的な
赦	amnesti	大赦令
氨	amoniak	アンモニア（気体）,アンモニア水
扩	amplif	［他］=amplifiki（増幅する）
娱	amuz	楽しい,余興の
鸭	anas	アヒル（家鴨）
剖	anatomi	解剖学
簧	anc^	（管楽器の）リード,簧（した）
行	andant	（速度標語）歩く速さで
闻	anekdot	逸話,ゴシップ,奇聞;小話
忧	angor	苦悶の,不安にかられた
魂	anim	魂の;=animita
也	ankau^	
锚	ankr	［他］錨をおろす;（気球を）係留する
鹅	anser	ガチョウ（鵞鳥）;《転》まぬけ者
肛	anus	肛門の
先	aprior	先天的な,演繹（えんえき）的な,><aposteriora
肯	aprob	［他］賛成する,同意する;是認する,認可する
旁	apud	かたわらの
擅	arbitr	任意の,勝手気ままな
弓	arc^	（弦楽器の）弓
逮	arest	［他］逮捕する
弧	ark	アーク放電
武	arm	武力紛争
葛	arorut	くず湯
洒	asperg	［他］（植木などに）水をやる;聖水を振りかける
祖	atav	
待	atend	［他］待つ;期待する
到	ating	［他］着く,届く,到達する
归	atribu	［他］割り当てる;（〜の）せいにする
或	au^	
敢	au^dac	大胆な,ずぶとい
晓	au^ror	曙（あけぼの）,夜明け;曙光（しょこう）;=polusa lumo（極光）
秋	au^tun	秋の
吝	avar	欲の深い,けちな
冒	aventur	冒険の,冒険的な
均	averag^	平均の
贪	avid	渇望している;むさぼるような
驴	azen	ロバの;愚かな
聊	babil	［自］雑談する,おしゃべりする
琐	bagatel	つまらない,取るに足りない
竹	bambu	竹製の
浴	ban	［他］水浴させる;（液体に）浸しておく;（水などを）浴びせかける
蕉	banan	バナナの皮
挣	barakt	［自］もがく,じたばたする;《転》苦闘する
胡	barb	（あごやほおに）ひげの生えた
蛮	barbar	未開の
舶	bark	小型船,小型帆船（s^ipoより小さく、boatoより大きい）;バーク船
爵	baron	男爵;（中世、国王から領地を与えられた）諸侯
庶	bastard	嫡出でない
棒	baston	［他］棒で叩く（たたく）
婴	beb	赤ん坊の
圃	bed	（細長い）野菜畑,花壇
憾	bedau^r	残念にも,気の毒そうに
嘴	bek	［他］（くちばしで）つつく;［自］さえずる
美	bel	美しい,きれいな;立派な,すばらしい;（天気が）晴れた
凳	benk	ベンチ
桦	betul	カバノキ（属）,シラカバ（白樺）
需	bezon	必要な,=bezonata
画	bild	絵を用いた
吠	boj	［自］（犬が）ほえる;《転》（人が）わめく,がみがみ言う
牡	bok	反すう動物の雄（雄山羊、雄鹿など）
沸	bol	［自］沸騰する,煮えたぎる;《転》荒れ狂う,激高する
菇	bolet	イグチ（アミタケ科のキノコの総称）,=tubofungo
岸	bord	岸,縁（ふち）
靴	bot	Alta leda piedvesto, kiu atingas g^is genuo au^ pli alte: le
碗	bovl	深皿,碗（わん）,丼（どんぶり）,ボウル,>>tasego
臂	brak	上腕二頭筋
苞	brakte	Folio, aksele de kiu formig^as floro, infloresko au^ alia br
糠	bran	ふすま,ぬか（糠）
刹	brems	制動力,ブレーキ力
闷	brez	(tr (transitiva)) Kuiri per milda fajro, sen elvaporig^o, po
砖	brik	れんが;れんが形のもの
绣	brod	［他］刺繍（ししゅう）する
锦	brok	［他］紋織りにする,錦織りにする
眉	brov	眉弓（びきゅう）
畜	brut	家畜の;《転》畜生のような
熏	bukan	Viando au^ fis^o fumsekigita.
培	but	［他］根に土をかける,土寄せする
店	butik	［自］小売店を営む
讹	c^antag^	［他］強請る（ゆする）,恐喝する
章	c^apitr	（本などの）章
洁	c^ast	貞節な,純潔な;清純な
在	c^e	
棺	c^erk	ひつぎの;《転》陰気な,陰鬱（いんうつ）な
舀	c^erp	［他］汲む（くむ）,くみ取る;《転》引き出す
刁	c^ikan	［他］難癖をつける,口やかましく文句を言う;詭弁（きべん）を弄（ろう）する
吗	c^u	
厘	centi	
葱	cep	玉ネギ;タマネギ
陶	ceramik	陶磁器の,セラミックスの
蝉	cikad	蝉時雨（せみしぐれ）
疤	cikatr	傷跡（きずあと）
柏	cipres	イトスギ（ヨーロッパでは喪の象徴）
函	cirkuler	回状,回覧状
池	cistern	雨水だめ,貯水池;水槽,（液体用）タンク
妃	dam	貴婦人;（中世の）身分の高い女性への尊称;（トランプ、チェスの）クイーン;（チェッカーの）成り駒,キング
俏	dand	おしゃれな,めかしこんだ,ダンディーな
谢	dank	感謝の,感謝している
宜	dec	礼儀にかなった,きちんとした,行儀のよい;ふさわしい,適切な
亏	deficit	赤字予算
融	degel	［自］（雪、氷、霜が）とける
诵	deklam	朗読コンクール
煎	dekokt	［他］（薬草などを）せんじる,煮出す;煎出する
右	dekstr	右の;右翼の,右派の
珍	delic	Delikata g^uo (gastronomia, amora k.a. (kaj aliaj)): meze de
违	delikt	違反,違犯,軽犯罪,>>krimo
辞	demisi	［自］（大臣・内閣などが）辞職する,>>abdiki
绘	desegn	［他］描く,素描する,デッサンする;デザインする,設計図をひく,製図する;《転》輪郭を示す
毁	detru	破壊的な
应	dev	（道徳上の）義務
铭	deviz	標語,モットー,座右の銘;（紋章の）題銘;外国為替
漠	dezert	砂漠の;荒れはてた;人けのない,無人の
透	diafan	半透明の,>>travidebla,>>maldiafana
言	dialekt	方言の
拦	dig	［他］（堤防などで）せき止める
消	digest	消化の
厚	dik	厚い;太い;太った
洪	diluv	ノアの洪水;《転》大洪水,=inundego
维	dimensi	次元解析
朝	dinasti	（一系統の）王朝
说	dir	［他］言う,述べる,告げる
蔑	disdegn	(tr (transitiva)) Mals^ati: alpreni tian s^ajnon, kiun disde
痢	disenteri	アメーバ赤痢
歧	diskriminaci	［他］差別する
争	disput	［自］口論する,言い争う,>>kvereli,>>konflikti
馏	distil	［他］蒸留する
甘	dolc^	甘い;心地好い;やさしい
屋	dom	公民館
惜	domag^	惜しむべき,遺憾な,残念な,>>bedau^rinda
给	don	［他］与える;渡す,もたらす;おこなう
宠	dorlot	［他］甘やかす;大事にする
呢	drap	ラシャ,>>lanaj^o,>>s^tofo,>>tuko
帷	drapir	［他］ひだのある布でおおう,垂れ幕で飾る;（衣服やカーテンに）ひだをつける
猛	drast	薬効の激しい;《転》強烈な,激烈な,徹底的な,思い切った,厳しい
驯	dres	［他］（動物を）調教する,訓練する,仕込む
漂	driv	［自］漂流する,（潮や風に）流される,>>flosi;偏流する,わきにそれる
溺	dron	［自］溺れる;沈没する;《転》没する,沈む
雇	dung	［他］雇う,採用する
可	ebl	可能な,あり得る
乌	ebon	黒たんの;漆黒の
夫	edz	夫
辉	efluv	グロー放電管
棱	eg^	（立体の）辺,稜（りょう）;刃,縁（ふち）,へり,端;稜線,尾根
吾	ego	エゴ;自我
回	eh^	反響して,こだまして
屏	ekran	スクリーングリッド,遮蔽格子
旧	eks	前任の,元の
滥	eksces	過度の,行過ぎた,並外れた,>>troa
泄	ekskreci	排泄の
鉴	ekspertiz	［他］鑑定する,査定する
爆	eksplod	［自］爆発する,破裂する;《転》激高する;《転》勃発（ぼっぱつ）する
采	ekspluat	［他］開発する,うまく利用する;搾取する;酷使する
歼	eksterm	［他］根絶する,皆殺しにする,絶滅させる,全滅させる,壊滅させる
赤	ekvator	赤道
扬	ekzalt	心を高揚させる,熱狂させる
练	ekzerc	［他］訓練する,練習させる,>>disciplini,>>hardi
象	elefant	ゾウ（象）
放	emancip	［他］親権を解除する;《転》（政治的・社会的束縛から）解放する,>>liberigi
窘	embaras	邪魔な,厄介な,煩わしい,>>g^ena
伏	embusk	待ち伏せて
须	end	［他］（無主語）〜されるべきである（不定法動詞を目的語に取る）
聘	engag^	［他］（人を）雇う,（雇用）契約する;（人をある状態に）巻き込む,引き入れる
查	enket	［自］アンケートをとる,調査する;取調べる
羡	envi	ねたみの,羨望の
纪	epok	時代;世,>>periodo（紀）,>>erao（代）,>>ag^o（期）
错	erar	ささいな誤り
勃	erekt	勃起した
猬	erinac	ハリネズミ
茅	espart	Komuna nomo de diversaj herboj Mediteraneaj (i.a. (interalie
是	est	［自］（〜）である;いる,存在する
灭	esting	［他］（火や明かりを）消す;《転》消す,消滅させる
永	etern	永遠の,永久の,不朽の,不滅の
伦	etik	倫理学の;倫理的な
乙	etil	エチル基
氛	etos	ムード音楽
易	facil	容易な,簡単な;軽やかな
专	fak	専門の,専門的な
阵	falang	（古代ギリシアの）密集方陣,ファランクス;指節骨（しせっこつ）
熔	fand	［他］（熱で）溶かす;鋳造（ちゅうぞう）する
幽	fantom	幽霊の,まぼろしのような
做	far	〜によって（行為者を示す）
咽	faring	咽頭（いんとう）
斋	fast	［他］断食する;絶食する
肥	fekund	繁殖力のある,多産な;《転》実り多い,肥沃（ひよく）な
幸	felic^	うらやましい幸福
毡	felt	フェルト帽
雌	femal	《稀》=ina（雌の）
凤	feniks	不死鳥,フェニックス;鳳凰（ほうおう）;《転》第一人者
闭	ferm	右かっこ,かっこ閉じる（）］｝〉など）
酵	ferment	［自］発酵する
驮	ferut	Transporti kamionojn au^ remorkojn sur fervojaj vagonoj.
胎	fet	胎児（妊娠３ヶ月以降）,>>embrio
骄	fier	誇り高い,自尊心のある;高慢な,尊大な
榕	fikus	G. (Genro) (Ficus el morusacoj) de laktosukohavaj arboj k ar
儿	fil	養子
滤	filtr	［他］こす,ろ過する;フィルターにかける
财	financ	赤字財政
焰	flam	炎の,炎をあげる;炎のような,激しい
侧	flank	風上側
弯	fleks	=fleksebla（曲げられる）
屈	fleksi	屈折の;屈折した,（語尾の）変化した
飘	flirt	［自］（旗などが）翻る;（蝶などが）ひらひら飛び回る;（異性と）たわむれる
絮	flok	一房の綿のような,小片状の
筏	flos	［自］浮いている
飞	flug	［自］飛ぶ,飛行する;飛ぶように進む,急ぐ
涨	flus	［自］（潮が）満ちる,差す
悄	flustr	ささやき声の,
泉	font	電源
锻	forg^	［他］鍛える,鍛造する;《転》鍛錬する,鍛え上げる
蚁	formik	アリの;《転》（アリのように）勤勉な
品	frand	美味の,おいしいそうな
敲	frap	着発信管,撃発信管,=perkuta fuzeo
兄	frat	兄弟の;大変仲のよい
频	frekvenc	累積度数分布
鲜	fres^	生き生きした,若々しい;新鮮な,生の;真新しい,最新の
削	frez	［他］フライスで削る
擦	frot	摩擦力
早	fru	早い;初期の
挫	frustr	［他］欲求不満を起こさせる
丧	funebr	哀悼の,悲嘆にくれた;喪の,葬式の
功	funkci	［自］職務を遂行する;機能を果たす
磅	funt	ポンド（約0.5kg）
饲	furag^	［自］飼料を集める
屁	furz	［自］おならをする,屁（へ）をひる
拙	fus^	仕損じの,出来損ないの
未	futur	未来（時制）,=os-tempo;《詩》=estonteco（未来）
呻	g^em	［自］うめく,うなる,嘆く
堤	g^et	防波堤,突堤
它	g^i	それの
享	g^u	［他］楽しむ,享受する
欢	gaj	陽気な,快活な,愉快な,にぎやかな,浮き浮きした
赢	gajn	（くじの）当籤番号
驰	galop	ギャロップで,全速力で
呆	gap	ぽかんと
漱	gargar	［他］すすぐ,水洗いする;うがいをする
膝	genu	［自］ひざまずいている,ひざ立ちしている
铸	gis	［他］鋳造する,=muldi
泽	glace	光沢のある,つや出しした,>>polurita
冰	glaci	氷の,氷のような;《転》冷ややかな,よそよそしい
颖	glum	包穎（ほうえい）
猩	goril	ローランドゴリラ
恩	grac	（la 〜）神の恩寵（おんちょう）
伯	graf	伯爵
禾	gramin	(evi (evitinda)) = gramineo.
串	grapol	（花や果実の）房;総状花序
抓	grat	［他］ひっかく,かき削る;かく,>>skrapi
贺	gratul	祝いの,祝賀の
蟋	gril	コオロギ
罗	groc	グロス（＝12ダース）
鹤	gru	ツル
怨	grumbl	［自］ぼやく,ぶつぶつ不平を言う,愚痴をこぼす
砾	gruz	［他］砂利を敷く
凿	gug^	Konkavaklinga c^izilo, uzata en meblofarado k kirurgio; fold
味	gust	［自］味がする
滴	gut	一滴ずつ,少しずつ
砍	hak	［他］（斧で）切る,たたき切る;（話などを）切れ切れにする;傷める
绕	haspel	1 Lata ligna au^ metala tamburo, kiu rotaciante surprenas fa
匆	hast	大急ぎの;拙速の
港	haven	港,港湾;《転》避難所,休息所
藤	heder	キヅタ（属）,ヘデラ,アイビー
篱	heg^	生け垣
霸	hegemoni	主導権を持った,支配的な
肝	hepat	肝臓の
继	hered	劣性遺伝
犹	hezit	［自］ためらう,躊躇（ちゅうちょ）する
汞	hidrarg	水銀気圧計
昨	hierau^	きのうの
嘻	hihi	Eligi tian bruon.
亚	hipo	
抵	hipotek	モーゲージ,抵当貸し,（特に）住宅ローン
燕	hirund	ツバメ（属）;=domhirundo
今	hodiau^	きょうの;今日（こんにち）の
誉	honor	名誉の,名誉ある,尊敬すべき
耻	hont	恥じて;恥ずかしそうに
蹄	huf	ひづめ（蹄）
仁	human	人間的な,人情味のある,人道的な
照	ilumin	［他］照明する,イルミネーションで飾る;天啓を与える
威	impon	印象深い,堂々とした,威厳のある
免	imun	免疫の;免除の;耐性のある
焚	incendi	火災保険
惹	incit	［他］（刺激して）怒らせる,いらだたせる;極度に興奮させる
征	indic	減衰指数,減衰定数
愤	indign	憤慨した
饶	indulg	寛大な
业	industri	産業の,工業の
惰	inert	惰性的な,無気力な,消極的な;不活性の
患	infest	(tr (transitiva)) Svarme invadi, pp (se paroli pri) ratoj ks
匿	inkognit	お忍びの,微行の
陷	insid	落とし穴の,わなのある,狡猾（こうかつ）な
唆	instig	［他］励ます,勧める;駆りたてる,そそのかす
本	instinkt	群集本能
岛	insul	無人島,=senhoma insulo
聪	inteligent	聡明な,頭のよい,利口な
烈	intens	強烈な,激しい,強度の;集中的な,集約的な,徹底的な
间	inter	間の,中間の
趣	interes	興味深い,おもしろい;関係のある,ためになる
隙	interstic	Spaco, kiu trovig^as inter la esencaj elementoj de iu organo
淹	inund	［他］氾濫する,水浸しにする;《転》あふれる
侵	invad	［他］侵入する,侵略する;押し寄せる,殺到する
邀	invit	心のこもった招待
虹	iriz	虹色の,虹色に輝く
妒	j^aluz	嫉妬深い,ねたんでいる;執着している,（失うまいと）用心している
耍	j^ongl	［自］（物を空中に投げる）曲芸をする;手品をする;《転》巧みに扱う
刚	j^us	たった今の,直前の
已	jam	既存の
年	jar	前年
这	jen	次の,次のような,以下の,下記の
碘	jod	ヨードチンキ
裙	jup	スカート
庐	kaban	（高山の）山小屋,登山小屋
粥	kac^	くず湯
尸	kadavr	死斑（しはん）
朽	kaduk	老朽の,荒廃した;老衰した,老いぼれた;消えていく,はかない;（期限切れで）無効の,失効した
笼	kag^	鳥かご;おり
舱	kajut	キャビンボーイ,船室付きの給仕
钙	kalci	塩化カルシウム
踢	kalcitr	［自］（馬などが）後脚で蹴上げる;《転》頑強に抵抗する
历	kalendar	（la 〜）グレゴリオ暦（現行の太陽暦）
钾	kali	シアン化カリウム,青酸カリ
跟	kalkan	踵（かかと）
谤	kalumni	中傷キャンペーン
秃	kalv	（頭の）はげた;《転》草木の生えていない
驼	kamel	フタコブラクダ,=dug^iba kamelo
摄	kamera	（動画撮影用）カメラ,>>fotilo
樟	kamfor	ショウノウ（樟脳）
苇	kan	《般》アシ,ヨシ,トウ,サトウキビの類,>>fragmito,>>rotango;（アシ・トウのような軽量中空の）茎,棒
渠	kanal	取水路,導水路
烛	kandel	ろうそく;カンデラ（光度の単位，cd）
候	kandidat	［自］立候補する（運動する）,志願する
州	kanton	（フランスの）郡;（スイスの）州
捕	kapt	［他］つかまえる,捕らえる;つかむ,把握する;とりこにする
牢	karcer	独房;監房,牢（ろう）;留置場;監獄,刑務所;営倉
抚	kares	愛撫するような,優しい
涯	karier	外交官の道,外交官の職
卡	kart	地図
藏	kas^	こっそり,秘密裡に
城	kastel	城,城郭;大邸宅,館（やかた）
催	kataliz	(tr (transitiva)) Plirapidigi kemian reakcion per katalizant
阴	katod	カソード,陰極,><anodo
蹲	kau^r	うずくまって,身を縮めて
灼	kau^ter	=kau^terizi（焼灼する）
窖	kel	地下室,穴倉,地下貯蔵庫;《転》（地下に貯蔵された）ワイン（全体）
些	kelk	（数について）いくつかの,何人かの;（量について）いくらかの,多少の
拐	kidnap	［他］誘拐する,=forkapti,>>infans^teli
吻	kis	そっと触れる口づけ
棍	klab	［他］こん棒で殴る
谣	klac^	［自］悪口をいいふらす,陰口をきく,悪いうわさ話をする
嘹	klarion	（声・音などが）甲高く響きわたる
屑	klast	1 Fragmento de rompita kristalo, roko au^ fosilio. 2 = detri
键	klav	エンターキー
崖	klif	（海岸の）絶壁,がけ,断崖（だんがい）
刃	kling	刃（は）,刀身,>>tranc^rando
诊	klinik	臨床の
灌	klister	［他］浣腸する
尽	klopod	骨の折れる
氯	klor	塩素（原子番号17の非金属元素）
厕	klozet	Necesejo, ordinare kun pelvo k akvos^pruco. Vd latrino.
闸	kluz	［他］（船を）開門して通過させる
郎	knab	少年の
吱	knar	［自］きしる,キイと音を立てる
焦	koaks	コークス
识	kogn	(tr (transitiva)) Rekoni, percepti, kapti (veron) helpe de l
贯	koher	（論理が）首尾一貫した,筋道の通った,まとまりのある;凝集した;（光が）干渉性の,コヒーレントな
椰	kokos	ココナッツ繊維
崩	kolaps	［自］虚脱する;崩壊する;フリーズする;《転》（急に）意気消沈する,衰弱する
梳	komb	［他］（くしで）すく,くしけずる
始	komenc	はじめの,最初の,手始めの
怜	kompat	慈悲
惠	komplez	親切な,好意的な,人を喜ばせる
逼	kompuls	(tr (transitiva)) Igi, ke iu efektive plenumu devon ks (kaj 
奏	koncert	演奏会の;生演奏の,生録音の,ライブの
件	kondic^	（〜aj 〜oj）経済的事情
佐	kondiment	［他］味付けする
凹	konkav	凹（おう）の,>>konveksa
虑	konsider	［他］考慮する,考察する;考慮に入れる;（〜と）見なす
慰	konsol	慰めの,慰めを与える
恒	konstant	誘電率,=permitivo
宪	konstituci	憲法の;立憲的な
询	konsult	［他］（専門家に）相談する,諮問する;（辞書などを）調べる,参照する
耗	konsum	［他］（少しずつ）消費する,消耗する;食べ尽くす,（炎が）焼き尽くす;やつれさせる
冥	kontempl	観想的な,瞑想にふける
陆	kontinent	アメリカ大陸
所	kontor	事務室;帳場,>>oficejo
谈	konversaci	会話の
篮	korb	かご,ざる
弦	kord	金属弦,スチール弦
贿	korupt	汚職事件
泛	kosmopolit	コスモポリタン的な;汎存種の,全世界に広く分布する
纳	kotiz	年会費
孵	kov	［他］（鳥が卵を）抱いている;《転》（こどもを）大事に保護する;《転》（計画などを）ひそかにたくらむ
盖	kovr	［他］覆う,かぶせる;覆いかくす;償う,埋め合わせる
颅	krani	頭蓋の
坠	kras^	［自］墜落する;（自動車などが）激突する,>>frakasig^i
坑	krater	火口湖,>>kaldrona lago
叫	kri	悲痛な叫び
筛	kribr	［他］ふるいにかける
晶	kristal	結晶の,結晶した;水晶のような,透きとおった;水晶でできた,クリスタルガラス製の
鳄	krokodil	［自］（Esp.で話すべき場面で）自国語で話す
肘	kubut	ひじの
烹	kuir	料理の,調理の
糕	kuk	ミルフィーユ,=tavolkuko
鹃	kukol	カッコウ（属）
栽	kultiv	コリアンダー（セリ科の香草）
铜	kupr	真鍮（しんちゅう）,黄銅,=latuno
跑	kur	突進
廷	kuri	クリア（古代ローマの社会組織の一単位／クリア集会所／元老院議場）;教皇庁
帘	kurten	鉄のカーテン
躺	kus^	横たわった
习	kutim	いつものように
堂	kuz	いとこ（男）
虽	kvankam	
如	kvazau^	見かけ上の,〜まがいの
吵	kverel	［自］口論する,口げんかする
劳	labor	《転》根気のいる仕事
疲	lac	疲れた,くたびれた;《転》飽き飽きした
湖	lag	人造湖
承	lagr	軸受
泻	laks	［自］下痢する
跛	lam	足（脚）の不自由な,びっこの;《転》釣り合いの取れていない
萤	lampir	ツチボタル（属）,>>lumvermo;（一般に）ホタル（蛍）,>>luciolo
舌	lang	チッと舌打ちをする
倦	langvor	=malviglo（無気力）
茸	lanug	綿羽のような,綿羽でできた,うぶ毛の生えた,綿毛に覆われた
泪	larm	涙の,涙にぬれた
留	las	［他］（物を）放置する,置いて去る,手放す;（人を）放す,ほうっておく;〜するに任せる
末	last	後者（の）
按	lau^	一致した,適合した
读	leg	［他］読む,音読する;読み取る,解読する;読み取る
舔	lek	［他］なめる;《転》へつらう
狮	leon	ライオンの
巧	lert	器用な,巧みな,上手な;敏捷な,すばしこい
尉	leu^tenant	中尉
荔	lic^i	1 G. (Genro) (Litchi el sapindacoj) de nur unu sp. (L. chine
脾	lien	脾臓（ひぞう）
液	likv	ボルドー液
