type	char	root	band	fullKanji	gloss
2根	粟	panic	basic	粟	《Ｎ》【植】キビ（黍）（属）,>>mileo
2根	粟	mili	pejvo	粟	{Ｏ}【植】雑穀（アワ，キビ，ヒエ，モロコシなど）,>>setario,>>panico,>
2根	案	projekt	basic	案	［他］計画する,企画する,立案する
2根	案	pupitr	pejvo	案	{Ｏ}（傾斜した）見台,書見台,記帳台,立ち机;【楽】譜面台
2根	杏	abrikot	basic	杏	アンズの
2根	杏	anzu	piv	杏	【植】【PIV】1 Var. (Vari(aj^)o) de abrikotarbo (Pr
2根	威	impon	basic	威	印象深い,堂々とした,威厳のある
2根	尉	leŭtenant	basic	尉	(無)
2根	易	facil	basic	易	{Ｂ}容易な,簡単な;軽やかな
2根	移	translaci	pejvo	移	［他］【理】並進させる;【数】平行移動させる
2根	井	put	basic	井	井戸の
2根	咽	faring	pejvo	咽	{Ｏ}【解】咽頭（いんとう）
2根	右	dekstr	basic	右	{Ｂ}右の;【政】右翼の,右派の
2根	宇	kosm	basic	宇	宇宙の
2根	宇	univers	basic	宇	宇宙の
2根	臼	molar	pejvo	臼	【解】大臼歯,=granda mueldento;臼歯（きゅうし）,=mueldento
2根	映	kin	basic	映	{Ｂ}映画,映画制作,>>filmo
2根	映	enantio	piv	映	(無)
2根	益	util	basic	益	{Ｂ}有用な,有益な,役に立つ;便利な,実用的な
2根	益	benefic	pejvo	益	慈善興行;【法】（法律で認められた）特典,特権
2根	悦	plaĉ	basic	悦	(無)
2根	悦	delekt	piv	悦	【PIV】(tr (transitiva)) Tre plezurigi: la pas^t
2根	越	ju	pejvo	越	(無)
2根	宴	festen	basic	宴	{Ｂ}［自］ごちそうを食べる;宴会に参加する;祝宴を催す
2根	宴	banked	pejvo	宴	［自］宴会に参加する;会食する
2根	延	prokrast	basic	延	{Ｂ}［他］延期する,延ばす,遅らせる
2根	凹	konkav	pejvo	凹	{Ｏ}【理】【数】凹（おう）の,>>konveksa
2根	央	centr	basic	央	中心の,中央の
2根	央	central	basic	央	{Ｂ}中央施設,本部,=centrejo;【電】発電所;【通】電話交換局
2根	寡	vidv	basic	寡	配偶者を失った,やもめの
2根	寡	oligo	piv	寡	(無)
2根	河	river	basic	河	{Ｂ}川,河川;流れ
2根	蚊	moskit	basic	蚊	{Ｂ}《般》【虫】蚊（か）,>>kulo
2根	蚊	kul	pejvo	蚊	{Ｏ}【虫】カ（蚊）;（特に）イエカ（属）,>>moskito
2根	画	bild	basic	画	絵を用いた
2根	蛾	mote	piv	蛾	【動】【PIV】Malgranda, malutila, grizeta papilio. 
2根	雅	graci	basic	雅	{Ｂ}優雅な,優美な,上品な
2根	雅	elegant	basic	雅	{Ｂ}上品な,趣味のよい,優美な
2根	回	eĥ	basic	回	(無)
2根	悔	pent	basic	悔	{Ｂ}［他］後悔する,悔悟する,改悛する
2根	悔	rimors	piv	悔	【PIV】Konsciencriproc^o: vermo la hau^ton rong^
2根	廓	profil	pejvo	廓	横顔の;縦断面の;輪郭の
2根	廓	kontur	pejvo	廓	［他］輪郭を描く,かたどる
2根	茅	espart	piv	茅	【植】【PIV】Komuna nomo de diversaj herboj Mediter
2根	完	perfekt	basic	完	{Ｂ}完全な,完璧な,申し分のない,>>senmanka,>>plena,>>komplet
piv単独	患	infest	piv	患	【PIV】(tr (transitiva)) Svarme invadi, pp (se p
2根	汗	ŝvit	basic	汗	(無)
2根	汗	h^an	pejvo	汗	【史】ハーン,カン（汗）（中央アジア遊牧民の族長・君主の称号）
2根	肝	hepat	basic	肝	肝臓の
2根	丸	pilol	basic	丸	{Ｏ}【薬】錠剤,丸薬;《般》（避妊用の）ピル
2根	丸	testik	pejvo	丸	{Ｏ}【解】精巣,睾丸（こうがん）
2根	玩	lud	basic	玩	{Ｂ}［自］遊ぶ,たわむれる,自由に動く;［他］（ゲームなどを）する,（必要な）動作をする;
2根	玩	petol	basic	玩	たわむれる,いたずらな,ふざけた
2根	癌	kancer	basic	癌	{Ｏ}【病】がん（癌）,>>tumoro;【植】腫瘍（しゅよう）;【動】イチョウガニ（属）
2根	癌	karcinom	piv	癌	【医】【PIV】Epitelia kancera variaj^o.
2根	危	danĝer	basic	危	(無)
2根	危	kriz	basic	危	危機的な;=sojla（臨界の）
2根	喜	ĝoj	basic	喜	(無)
2根	喜	ŝat	basic	喜	(無)
2根	汽	vapor	basic	汽	蒸気の;蒸気のたちこめた,おぼろにかすんだ;（布地が）透けるように薄い
2根	祈	preĝ	basic	祈	(無)
2根	季	sezon	basic	季	季節の,季節的な
2根	季	trimestr	pejvo	季	四半期に一度の,季刊の,>>trimonata
2根	稀	rar	pejvo	稀	まれな,希少な,珍しい,=malofta
2根	稀	dilu	pejvo	稀	［他］【化】希釈する;薄める,=malkoncentri
2根	虐	turment	basic	虐	苦しめる,悩ます
2根	虐	molest	pejvo	虐	《稀》［他］いじめる,虐待する,苦しめる,>>mistrakti,>>turmenti
2根	休	ripoz	basic	休	{Ｂ}［自］休息する,休憩する;静かに横たわる,横になって休む;（死んで）横たわる,永眠する
2根	急	urĝ	basic	急	(無)
piv単独	居	setl	piv	居	【PIV】(ntr (netransitiva)) (pp (se paroli pri) 
2根	享	ĝu	basic	享	(無)
2根	叫	kri	basic	叫	{Ｂ}［自］叫ぶ,泣き叫ぶ;［他］大声で言う
2根	境	medi	basic	境	環境の
2根	境	eko	pejvo	境	(無)
2根	峡	istm	pejvo	峡	{Ｏ}【地理】地峡;【解】峡部
2根	峡	ravin	pejvo	峡	【地理】峡谷,渓谷
2根	怯	timid	pejvo	怯	《詩》=sing^ena（内気な）
2根	怯	poltron	pejvo	怯	《詩》=malkurag^a（臆病な）
piv単独	仰	supin	piv	仰	【PIV】(tr (transitiva)) Turni la antau^brakon t
2根	巾	tuk	basic	巾	{Ｂ}（用途に合わせて切った）布,布切れ
2根	近	proksim	basic	近	{Ｂ}（空間的・時間的に）近い,近接した
2根	近	miop	basic	近	{Ｏ}【医】近視の,近眼の,>>hipermetropa,>>presbiopa
2根	串	grapol	pejvo	串	（花や果実の）房;【植】総状花序
2根	屑	klast	piv	屑	【地質】【PIV】1 Fragmento de rompita kristalo, roko
2根	掘	fos	basic	掘	{Ｂ}［他］掘る;発掘する;《転》（問題などを）掘り下げる
2根	掘	sape	pejvo	掘	［他］（城壁などを土台から）掘り崩す;対壕を掘る
2根	窟	spele	pejvo	窟	【PIV】Natura subtera kavo, i.a. (interalie, int
2根	刑	kriminal	pejvo	刑	{Ｏ}【法】刑事上の
2根	刑	linc^	pejvo	刑	［他］リンチを加える,私刑にする
2根	型	tip	basic	型	典型的な,代表的な;特有の,いかにも〜らしい;類型的な,型にはまった
2根	型	muld	pejvo	型	{Ｏ}［他］型に入れて作る,鋳造する;型を取る,鋳型をとる
2根	桂	cinam	basic	桂	{Ｂ}【料】桂皮,シナモン
2根	桂	lau^r	pejvo	桂	{Ｏ}【植】ゲッケイジュ（属）（月桂樹）
2根	迎	lof	pejvo	迎	［他］【海】船首を風上にむける
piv単独	隙	interstic	piv	隙	【解】【PIV】Spaco, kiu trovig^as inter la esencaj 
2根	健	san	basic	健	{Ｂ}健康な,健やかな,丈夫な,元気な;《転》健全な
2根	健	salubr	piv	健	【医】【PIV】Favora por la sano: salubra klimato, a
2根	券	kupon	basic	券	{Ｂ}クーポン（券）,切符の半券;【経】利札（りさつ）
2根	券	bil	pejvo	券	【経】証券,手形
2根	拳	pugn	basic	拳	［他］こぶしでなぐる
2根	研	stud	basic	研	{Ｂ}［他］研究する,調べる,>>esplori;（学問を）勉強する,>>lerni
2根	言	dialekt	basic	言	方言の
2根	限	fini	piv	限	【数】【PIV】a) (pp (se paroli pri) aro) Havanta no
2根	限	restrikt	piv	限	【PIV】(tr (transitiva)) Malvastigi: restrikti l
2根	呼	vok	basic	呼	呼び声の,呼びかけの
2根	固	solid	basic	固	固体の;固い,頑丈な;確固とした,確実な;堅実な,しっかりした
2根	湖	lag	basic	湖	湖の;湖畔の
2根	糊	past	basic	糊	{Ｂ}【料】ペースト,ねり粉,生地;ペースト状のもの
2根	糊	amel	pejvo	糊	［他］糊付けする
2根	侯	princ	basic	侯	君主の;君主にふさわしい
2根	侯	markiz	pejvo	侯	{Ｏ}侯爵
2根	候	kandidat	basic	候	［自］立候補する（運動する）,志願する
2根	厚	dik	basic	厚	{Ｂ}厚い;太い;太った
2根	宏	grandioz	basic	宏	{Ｂ}雄大な,堂々たる,荘厳な
2根	宏	makro	pejvo	宏	【情】マクロ
2根	巧	lert	basic	巧	{Ｂ}器用な,巧みな,上手な;敏捷な,すばしこい
2根	梗	infarkt	pejvo	梗	【医】【PIV】Nomo donata al vaskula teritorio, en k
2根	梗	pedunkl	pejvo	梗	【植】花柄;【解】脳脚
2根	克	gram	basic	克	{Ｂ}【単】グラム（g）
2根	克	konker	pejvo	克	{Ｏ}［他］征服する,戦い取る;《転》（努力して）勝ち取る,克服する
2根	忽	ignor	basic	忽	{Ｂ}［他］（意図的に）無視する,見ないふりをする,知らないふりをする,>>neglekti
2根	忽	neglekt	basic	忽	{Ｂ}［他］（不注意などから）なおざりにする,おろそかにする,軽視する,怠る,>>malzo
2根	此	cis	pejvo	此	(無)
2根	魂	anim	basic	魂	魂の;=animita
2根	左	liv	piv	左	【PIV】Maldekstra: liva g^irado; turnu liven tuj
2根	砂	smirg	pejvo	砂	［他］金剛砂で磨く
2根	挫	frustr	pejvo	挫	{Ｏ}［他］【心】欲求不満を起こさせる
2根	材	material	basic	材	材料の;物質的な,実質的な;功利的な
2根	材	statur	basic	材	{Ｂ}身長,背丈
2根	始	komenc	basic	始	はじめの,最初の,手始めの
2根	姿	gest	basic	姿	身ぶりで
2根	姿	poz	pejvo	姿	{Ｏ}［自］【美】ポーズをとる;《転》気取る
2根	志	ambici	basic	志	野心的な
2根	思	pens	basic	思	{Ｂ}［自］思う,考える
2根	思	medit	basic	思	{Ｂ}［自］考え込む,思索する,黙想する;瞑想する
2根	止	ĉes	basic	止	(無)
2根	止	apne	pejvo	止	【医】無呼吸,（一時的な）呼吸停止
2根	雌	femal	pejvo	雌	《稀》=ina（雌の）
2根	次	foj	basic	次	一度,ある時
2根	次	sekundar	pejvo	次	【学】第二の,二次の,>>primara;《古》第二紀の,=mezozoika
2根	辞	demisi	pejvo	辞	［自］（大臣・内閣などが）辞職する,>>abdiki
2根	邪	pervers	pejvo	邪	邪悪な,よこしまな,倒錯した,>>malica
2根	邪	perversi	pejvo	邪	【医】異常;《般》性的倒錯
2根	借	prunt	basic	借	貸し借りで
2根	勺	kuler	basic	勺	{Ｂ}【料】さじ,スプーン
2根	勺	s^kop	piv	勺	【PIV】Ujo el ligno au^ lado, uzata por forc^erp
2根	爵	baron	pejvo	爵	{Ｏ}男爵;【史】（中世、国王から領地を与えられた）諸侯
2根	守	gard	basic	守	番をして;用心深く
2根	守	garnizon	pejvo	守	［自］【軍】駐屯する
2根	朱	cinabr	pejvo	朱	朱の;朱色の
2根	朱	vermiljon	pejvo	朱	朱の,朱色の
2根	授	profesor	basic	授	{Ｂ}（大学・高等教育機関の）教授（人）
2根	授	inic	pejvo	授	［他］（人に）秘伝を授ける;手ほどきをする
2根	需	bezon	basic	需	必要な,=bezonata
2根	周	semajn	basic	周	一週間の;毎週の,週一回の
2根	秋	aŭtun	basic	秋	(無)
2根	酬	rekompenc	basic	酬	お返しに,褒美として
2根	酬	honorari	pejvo	酬	［他］謝礼金を払う
2根	住	loĝ	basic	住	(無)
2根	祝	ben	basic	祝	{Ｂ}［他］祝福する
2根	祝	tost	basic	祝	［自］乾杯する,祝杯をあげる
2根	熟	matur	basic	熟	{Ｂ}熟した,成熟した;《転》熟慮した,練られた;【商】（手形などが）満期の
2根	熟	familiar	basic	熟	{Ｂ}親しい,慣れ親しんだ,心安い,くだけた,平俗な,>>intima,>>sencerem
2根	述	rakont	basic	述	{Ｂ}［他］物語る,語る,話をする
2根	述	dikt	basic	述	{Ｂ}［他］口述筆記させる;指図する
2根	薯	maniok	pejvo	薯	{Ｏ}【植】キャッサバ,マニオク,>>tapioko
2根	床	lit	basic	床	{Ｂ}ベッド,寝台;寝床;（動物の）ねぐら
2根	沼	marĉ	basic	沼	(無)
2根	硝	salpetr	pejvo	硝	{Ｏ}【化】硝石,=kalia nitrato
2根	章	ĉapitr	basic	章	(無)
piv単独	冗	redund	piv	冗	【PIV】Estanta pluroble au^ ripete, au^ aldonita
2根	城	kastel	basic	城	{Ｂ}城,城郭;大邸宅,館（やかた）
piv単独	蒸	transpir	piv	蒸	【PIV】(ntr (netransitiva)) 1 Elimini akvovaporo
2根	拭	viŝ	basic	拭	(無)
2根	拭	s^vabr	pejvo	拭	［他］モップで拭く
2根	殖	koloni	basic	殖	植民地の,植民の
2根	殖	prolifer	piv	殖	【PIV】(ntr (netransitiva)) 1 (pp (se paroli pri
2根	辱	blasfem	basic	辱	{Ｂ}［自］【宗】不敬なことを言う,冒涜的な言葉を吐く;［他］ののしる
2根	辱	sakrilegi	pejvo	辱	冒涜的な,神聖を汚す;無礼な,罰当たりな
2根	伸	etend	basic	伸	{Ｂ}［他］伸ばす;（手を伸ばして）差し出す;（金属を）延ばす;広げる,拡張する
2根	伸	ekstens	piv	伸	【解】【PIV】(tr (transitiva)) Malfaldi anatomian e
2根	深	profund	basic	深	{Ｂ}深い,底の深い,奥深い;深部に達する,深々とした;《転》深遠な,深層の;深刻な,根深い
2根	仁	human	basic	仁	{Ｂ}人間的な,人情味のある,人道的な
2根	逗	kom	basic	逗	{Ｂ}コンマ,読点;【数】小数点;【情】コンマ（，）
2根	逗	ŝerc	basic	逗	(無)
2根	吹	blov	basic	吹	{Ｂ}［自］（風が）吹く,息を吐く;［他］吹く,吹き鳴らす
2根	吹	blag	pejvo	吹	［自］でたらめをいう,ほらを吹く
2根	衰	atenu	pejvo	衰	［他］【理】（距離とともに）減衰させる,>>amortizi
2根	衰	kah^eksi	piv	衰	【医】【PIV】Grava perturbo de c^iuj funkcioj de la
2根	誓	ĵur	basic	誓	(無)
2根	誓	vot	pejvo	誓	誓いの,誓願の
2根	醒	vek	basic	醒	目覚めさせる
2根	醒	sobr	basic	醒	{Ｂ}（飲食を）節制した,しらふの;節度ある,落ち着いた
2根	税	impost	basic	税	［他］課税する
2根	税	akciz	pejvo	税	［他］【経】消費税を課す
2根	席	mat	basic	席	［自］【遊】（チェス・将棋で）詰む
2根	斥	eksklud	pejvo	斥	=ekskluziva（排他的な）
2根	斥	skold	piv	斥	【PIV】(tr (transitiva)) Riproc^e admoni: la pat
2根	籍	matrikul	pejvo	籍	［他］登録番号を付ける;=enmatrikuligi（登録する）
2根	赤	ekvator	basic	赤	{Ｂ}【地理】赤道
2根	蝉	cikad	basic	蝉	{Ｂ}【虫】セミ（蝉）
2根	泉	font	basic	泉	［自］涌き出る;《転》源を発する
2根	善	afabl	basic	善	{Ｂ}愛想のよい,親切な;ものやわらかな,ていねいな;【情】使いやすい,ユーザーフレンドリー
2根	然	natur	basic	然	自然の,天然の;本来の,自然な,天性の,生まれつきの;当然の,当たり前の;【楽】本位の
2根	奏	koncert	basic	奏	演奏会の;生演奏の,生録音の,ライブの
2根	葬	sepult	pejvo	葬	［他］葬る,埋葬する,>>entombigi
2根	促	akcel	basic	促	{Ｂ}［他］加速する,促進する,>>plirapidigi
2根	促	forc	pejvo	促	［他］【農】促成栽培する
2根	属	aparten	basic	属	{Ｂ}［自］（〜 al）〜のものである;〜に所属する
2根	属	genr	pejvo	属	{Ｏ}【Ｇ】性;【生】（分類学上の）属
2根	卒	peon	pejvo	卒	【遊】（チェスの）ポーン,（将棋の）歩兵（歩）;（中南米の）農場労働者,ペオン
2根	尊	estim	basic	尊	{Ｂ}［他］尊敬する,尊重する,高く評価する,>>s^ati,>>respekti
2根	尊	dign	basic	尊	威厳のある,堂々とした
2根	逐	ekzil	pejvo	逐	{Ｏ}［他］祖国から追放する,>>proskribi,>>elpeli
2根	逐	proskrib	pejvo	逐	［他］追放する,=ekzili;=malpermesi;=eksterleg^igi
2根	窒	sufok	basic	窒	窒息するような,息苦しい,息詰まる
2根	窒	asfiksi	pejvo	窒	［他］【医】窒息させる
2根	忠	fidel	basic	忠	{Ｂ}忠実な,誠実な;節操の堅い,貞節な;事実を曲げない
2根	忠	lojal	basic	忠	{Ｂ}忠義な,忠実な;誠実な,公正な
2根	兆	megom	pejvo	兆	【電】=megaomo（メガオーム）
2根	挑	provok	basic	挑	挑発の;挑発する
2根	朝	dinasti	pejvo	朝	{Ｏ}【史】（一系統の）王朝
2根	跳	salt	basic	跳	{Ｂ}［自］跳ぶ,跳び上がる,跳躍する;飛び移る,飛びのく;《転》飛躍する;《転》急増する
2根	跳	kapriol	pejvo	跳	［自］跳ね回る,跳躍する
piv単独	珍	delic	piv	珍	【PIV】Delikata g^uo (gastronomia, amora k.a. (k
2根	爪	ung	basic	爪	［他］つめを立てる,ひっかく,>>ungograti,>>ungovundi
2根	爪	klik	pejvo	爪	【機】歯止め,爪（つめ）;（排他的な）徒党,一味,派閥
2根	抵	hipotek	pejvo	抵	［他］抵当に入れる,担保に入れる
2根	蹄	huf	basic	蹄	{Ｂ}【動】ひづめ（蹄）
2根	摘	pluk	pejvo	摘	［他］（花や実を）摘む,摘みとる,>>des^iri;つまみ上げる;【楽】（ハープなどを）つ
2根	摘	enukle	pejvo	摘	［他］【医】（腫瘍・眼球などを）摘出する
2根	哲	filozofi	basic	哲	哲学的な
2根	哲	filozof	pejvo	哲	［自］=filozofii（哲学する）;達観する
2根	堵	ŝtop	basic	堵	(無)
2根	堵	obtur	pejvo	堵	［他］（穴や開口部を）ふさぐ,密閉する;【医】（虫歯を）充填する
2根	徒	van	basic	徒	{Ｂ}実りのない,むだな;むなしい,実質を伴わない
2根	徒	adept	pejvo	徒	{Ｏ}（学説・教義の）信奉者;（思想・運動の）支持者,仲間,同志
2根	奴	sklav	basic	奴	奴隷の,奴隷的な;卑屈な,言いなりの
2根	怒	koler	basic	怒	怒りの,立腹した,怒っている
