sig	r	rk	rb	y	yk	yb
>>	plural	复数	basic	singular	单	basic
=	pojn	腕	pejvo	man	手	basic
=	polen	粉	pejvo	flor	花	basic
=	poligon	多角	pejvo	plur	多	pejvo
=	poligon	多角	pejvo	fagopir	麦	pejvo
=	polm	掌	pejvo	man	手	basic
=	polo	马球	pejvo	male	捶	pejvo
=	poltron	怯	pejvo	mal	反	pref
=	postic^	伪	pejvo	imit	仿	basic
=	potas	钾碱	pejvo	kau^stik	蚀	pejvo
>>	pot	壶	basic	ter	地	basic
=	povr	贫	pejvo	kompat	怜	basic
=	povr	贫	pejvo	mal	反	pref
>>	pozitiv	正	basic	aktiv	活	basic
>>	prelud	前奏	pejvo	uve	葡萄膜	piv
=	prelud	前奏	pejvo	ant	在	suf
>>	prepost	主祭	pejvo	parok	堂区	pejvo
=	preskrib	规	basic	recept	方	basic
=	prevent	防	pejvo	ant	在	suf
>>	prezident	统	basic	prezid	主	basic
>>	primar	原	pejvo	sekundar	次	pejvo
=	primar	原	pejvo	paleozoik	古生	pejvo
=	princ	侯	basic	reg	治	basic
>>	privilegi	特权	pejvo	pre	前	piv
=	prizon	狱	pejvo	mal	反	pref
>>	prizon	狱	pejvo	karcer	牢	basic
=	proced	办	basic	procez	程	pejvo
=	procedur	程	pejvo	jug	束缚	basic
=	procent	率	basic	el	出	prep
=	procent	率	basic	interez	利	basic
=	procesor	处理器	pejvo	pri	于	prep
>>	procez	程	pejvo	progres	进	basic
=	prodig	慷	pejvo	mal	反	pref
=	profan	俗	pejvo	mal	反	pref
>>	profet	先知	basic	ant	在	suf
>>	profil	廓	pejvo	sekc	切	sci
>>	profund	深	basic	fund	底	basic
=	progresi	进	pejvo	vic	列	basic
=	prohibici	禁	pejvo	leg	读	basic
>>	prokur	代	pejvo	mandat	委	basic
=	promoci	升	pejvo	rang	级	basic
=	promoci	升	pejvo	dam	妃	pejvo
>>	prononc	音	basic	el	出	prep
=	propedeu^tik	预科	pejvo	prepar	备	basic
>>	proporci	比	basic	rilat	关	basic
=	proskrib	逐	pejvo	mal	反	pref
=	proskrib	逐	pejvo	ekster	外	prep
>>	prosper	荣	basic	sukces	成	basic
=	proviant	粮	pejvo	proviz	供	basic
>>	proz	散文	basic	banal	庸	basic
>>	proz	散文	basic	plat	扁	basic
>>	psalm	咏	pejvo	himn	颂	basic
>>	psalm	咏	pejvo	kant	唱	basic
=	pug	臀	pejvo	post	后	prep
>>	pul	蚤	pejvo	cim	臭虫	pejvo
>>	pul	蚤	pejvo	pedik	虫	pejvo
>>	pul	蚤	pejvo	lau^s	虫	piv
=	pup	偶	basic	gant	手套	basic
>>	purpur	紫	basic	viol	紫花	basic
>>	purpur	紫	basic	skarlat	红	pejvo
>>	rabi	狂	pejvo	akv	水	basic
=	radik	根	basic	radikal	彻	pejvo
=	radi	射	basic	radius	半径	pejvo
=	rangifer	驯鹿	pejvo	bo	姻	pref
=	rar	稀	pejvo	mal	反	pref
=	ras	种	sci	sub	下	prep
=	reakci	反应	basic	rea	美洲鸵	piv
=	reaktor	反应堆	pejvo	reakci	反应	basic
=	redakci	部	basic	redakt	编	basic
>>	re	再	pref	de	从	prep
>>	reflekt	反射	basic	refrakt	折	pejvo
=	reflekt	反射	basic	simetri	称	pejvo
=	reflektor	镜	pejvo	reflekt	反射	basic
=	registr	录	basic	ton	调	basic
=	regres	退	pejvo	mal	反	pref
=	reg^isor	导演	pejvo	en	内	prep
=	reklamaci	诉	pejvo	kompens	补	basic
>>	rekompenc	酬	basic	premi	奖	basic
>>	rekompenc	酬	basic	kompens	补	basic
>>	rekrement	渣	pejvo	fe	妖精	basic
>>	rekt	直	basic	vertikal	竖	basic
>>	rekt	直	basic	sen	无	prep
=	relikv	遗物	pejvo	sankt	圣	basic
=	remiz	库	pejvo	vetur	乘	basic
=	replik	驳	pejvo	re	再	pref
>>	replik	驳	pejvo	kopi	复	basic
>>	replik	驳	pejvo	signal	号	basic
=	reporter	记者	pejvo	raport	报	basic
>>	reprezali	报复	pejvo	ven	来	basic
=	repudi	离	pejvo	eks	旧	pref
=	respons	责	pejvo	respond	答	basic
=	resurekt	复活	pejvo	rev	幻	basic
>>	retrat	取	pejvo	re	再	pref
=	retret	退	pejvo	ret	网	basic
>>	revers	翻	pejvo	dors	背	basic
>>	revizor	审	pejvo	inspekt	检	pejvo
>>	rev	幻	basic	son	声	basic
>>	rev	幻	basic	dezir	欲	basic
>>	ricel	窝	pejvo	kas	库	basic
>>	rig	索	pejvo	ekip	备	basic
>>	rikan	讥	pejvo	mok	嘲	basic
>>	rikan	讥	pejvo	rid	笑	basic
=	rilaks	缓	pejvo	rel	轨	basic
>>	ripar	修	basic	re	再	pref
=	rip	肋	basic	nerv	神经	basic
=	ristorn	偿	pejvo	re	再	pref
>>	rival	敌	pejvo	konkur	竞	basic
>>	rivolu	转	basic	rotaci	旋	pejvo
=	rong^	啃	pejvo	mord	咬	basic
>>	rostr	鼻	pejvo	muzel	口鼻	basic
>>	rotaci	旋	pejvo	kirl	涡	pejvo
=	ruf	赤褐	pejvo	flav	黄	basic
=	rur	乡	pejvo	kamp	田	basic
>>	sacerdot	祭司	pejvo	pastr	牧	basic
=	sake	酒	pejvo	riz	米	basic
>>	sakr	骂	pejvo	blasfem	辱	basic
>>	sakrilegi	辱	pejvo	profan	俗	pejvo
>>	salamandr	蛙	pejvo	tri	三	num
>>	salam	腊肠	pejvo	kolbas	肠	basic
=	salpetr	硝	pejvo	kali	钾	elem
=	salping	卵管	pejvo	ov	卵	basic
>>	salut	问	basic	ad	行	suf
=	sangvin	乐	pejvo	sang	血	basic
>>	sekci	科	basic	fak	专	basic
=	seks	性	basic	genr	属	pejvo
=	sekular	俗	pejvo	ne	不	func
=	sekundar	次	pejvo	mez	中	basic
>>	sekv	随	basic	konsekvenc	果	basic
>>	semafor	号	pejvo	trafik	交	basic
=	semestr	期	pejvo	jard	码	pejvo
>>	semestr	期	pejvo	lern	学	basic
=	sem	种	basic	sperm	精液	pejvo
>>	separ	隔	pejvo	eks	旧	pref
>>	sepi	墨鱼	pejvo	loli	草	piv
>>	sepult	葬	pejvo	entom	虫	pejvo
>>	serp	割	pejvo	fal	落	basic
>>	serp	割	pejvo	rikolt	获	basic
=	silur	鱼	pejvo	kat	猫	basic
>>	simbol	符	basic	em	倾	suf
=	simpati	亲	basic	kun	共	prep
>>	sink	沉	pejvo	mal	反	pref
>>	sink	沉	pejvo	dron	溺	basic
=	sinkop	切分	pejvo	sven	昏	basic
>>	sinus	洞	pejvo	tangent	切	pejvo
=	sism	震	pejvo	ter	地	basic
=	situaci	况	basic	situ	位	basic
=	skafald	架	pejvo	trab	梁	sci
>>	skalar	标量	pejvo	vektor	矢量	pejvo
=	skal	度	basic	gam	阶	pejvo
>>	skalp	头皮	pejvo	kap	头	basic
>>	skandal	丑	basic	hont	耻	basic
=	skarab	甲	pejvo	kole	胆	piv
=	skrot	阴囊	pejvo	testik	丸	pejvo
>>	skurg^	鞭	pejvo	verg	枝	basic
=	sled	雪车	basic	glit	滑	basic
=	sodomi	肛交	pejvo	anus	肛	pejvo
>>	sokl	墩	pejvo	pied	足	basic
>>	solen	庄	basic	celebr	庆	basic
>>	sol	唯	basic	koloid	胶	pejvo
=	solvent	偿	pejvo	pag	付	basic
=	sor	腾	pejvo	supr	顶	basic
>>	sozi	替身	pejvo	du	二	num
>>	special	特	basic	apart	独	basic
>>	special	特	basic	fak	专	basic
>>	speci	种	pejvo	genr	属	pejvo
=	spekulaci	投机	pejvo	spekul	投	pejvo
>>	spert	验	basic	tra	穿	prep
=	spin	脊	pejvo	vertebr	椎	pejvo
=	spion	谍	pejvo	gvat	监	pejvo
=	spir	息	basic	el	出	prep
>>	spirit	灵	basic	anim	魂	basic
>>	spirit	灵	basic	fantom	幽	basic
>>	split	片	basic	fragment	碎	pejvo
=	spok	辐	pejvo	rad	轮	basic
=	spok	辐	pejvo	drat	线	basic
>>	sponsor	援	pejvo	reklam	宣	basic
=	spur	迹	basic	pied	足	basic
>>	stabil	稳	basic	meta	超	pejvo
>>	stabil	稳	basic	nest	巢	basic
>>	stabil	稳	basic	labil	易变	pejvo
=	stadi	阶	basic	stadion	赛场	basic
>>	stamen	雄蕊	basic	pist	捣	pejvo
>>	stang	杆	basic	baston	棒	basic
>>	stang	杆	basic	verg	枝	basic
=	stapl	囤	pejvo	stok	储	basic
=	stapl	囤	pejvo	kas	库	basic
=	start	起	basic	ek	始	pref
>>	stat	态	basic	situaci	况	basic
=	stereotip	套	pejvo	klis^	铸版	pejvo
=	sterling	镑	pejvo	bri	苔	piv
>>	stigmat	痕	pejvo	cikatr	疤	basic
=	stilz	跷	pejvo	pas	过	basic
=	stilz	跷	pejvo	stang	杆	basic
>>	stimul	激	basic	instig	唆	basic
>>	stimul	激	basic	vigl	活	basic
>>	stimul	激	basic	spron	刺	pejvo
>>	stoik	忍	pejvo	flegm	淡	pejvo
=	stov	炉	basic	hejt	热	basic
>>	strang	奇	basic	bi	生	pejvo
>>	strang	奇	basic	original	原	basic
>>	strang	奇	basic	ekstravaganc	怪	pejvo
>>	strang	奇	basic	fremd	异	basic
=	strangol	绞	pejvo	prem	压	basic
>>	strategi	略	pejvo	taktik	术	basic
>>	stratosfer	平流层	pejvo	troposfer	对流层	pejvo
=	stret	窄	pejvo	mal	反	pref
=	string	勒	pejvo	c^ir	卷须	piv
>>	stud	研	basic	esplor	探	basic
>>	stud	研	basic	lern	学	basic
>>	stuk	涂	pejvo	gips	石膏	pejvo
=	stumbl	绊	pejvo	fal	落	basic
>>	stumbl	绊	pejvo	mis	误	pref
>>	stumbl	绊	pejvo	licenc	许	basic
=	sturm	突	pejvo	kur	跑	basic
>>	subit	突	basic	ne	不	func
=	substitu	替	pejvo	ans	柄	pejvo
=	sugesti	暗示	pejvo	sugest	示	basic
=	sum	总	basic	resum	概	basic
>>	sumo	相扑	pejvo	lukt	搏	basic
=	supl	柔	pejvo	mal	反	pref
=	supl	柔	pejvo	fleks	弯	basic
=	surf	冲浪	pejvo	ond	波	basic
=	suspir	叹	pejvo	vesp	蜂	basic
=	svelt	苗条	pejvo	elegant	雅	basic
>>	s^am	鹿皮	pejvo	c^am	羚	pejvo
>>	s^ankr	毒疮	pejvo	ulcer	疮	pejvo
>>	s^ik	帅	pejvo	elegant	雅	basic
>>	s^ik	帅	pejvo	bon	良	basic
=	s^pur	距	pejvo	trak	轨	pejvo
=	s^utr	百叶窗	pejvo	fenestr	窗	basic
=	tabak	烟	basic	ni	我们	func
=	tabel	表	basic	tabul	板	basic
>>	tac^ment	遣	pejvo	team	队	basic
=	taks	评	basic	alte	立葵	pejvo
=	talent	才	basic	tal	距	piv
>>	tang	颠	pejvo	rul	卷	basic
>>	tang^	接	pejvo	tus	咳	basic
=	tard	迟	pejvo	mal	反	pref
=	tartr	酒石	pejvo	dent	齿	basic
=	tau^r	牡牛	pejvo	vir	男	basic
=	tegment	顶	basic	sub	下	prep
>>	tek	包	pejvo	paper	纸	basic
=	televizi	电视	pejvo	televid	视	basic
=	telfer	缆路	pejvo	kabl	缆	pejvo
=	temp	时	basic	port	运	basic
>>	tendenc	趋	basic	parti	党	basic
>>	tener	柔	basic	kares	抚	basic
=	tensi	压	pejvo	sang	血	basic
>>	teorem	定理	pejvo	aksiom	公理	pejvo
=	tepid	温	pejvo	varm	暖	basic
>>	terciar	三	pejvo	sekundar	次	pejvo
>>	teren	地	basic	kamp	田	basic
=	termin	词	basic	fak	专	basic
>>	tern	喷	basic	tus	咳	basic
>>	terur	恐	basic	tim	怕	basic
=	tetra	野鸡	pejvo	bonazi	鸟	piv
=	tez	题	basic	disertaci	论文	pejvo
=	tial	那因	correl	kial	何因	correl
=	tiel	那样	correl	tia	那	correl
=	tiel	那样	correl	tiam	那时	correl
>>	tif	疹	pejvo	par	偶	basic
=	tim	怕	basic	ant	在	suf
=	timid	怯	pejvo	sin	怀	basic
=	timpan	鼓室	pejvo	timbal	鼓	pejvo
=	tin	桶	pejvo	lign	木	basic
>>	tir	拉	basic	tond	剪	basic
=	toast	烤包	pejvo	rost	烤	basic
=	ton	调	basic	tonik	主	pejvo
>>	tord	拧	basic	fleks	弯	basic
>>	tord	拧	basic	tir	拉	basic
>>	tort	饼	basic	flan	蛋奶	pejvo
>>	tort	饼	basic	past	糊	basic
>>	total	总	basic	komplet	全	basic
>>	total	总	basic	tut	整	basic
>>	trafik	交	basic	trans	越	prep
=	tragik	悲剧	basic	tragedi	悲	basic
>>	trah^e	气管	pejvo	bronk	支	pejvo
>>	trajn	车	basic	vagon	厢	basic
=	trak	轨	pejvo	tra	穿	prep
>>	tramp	游	pejvo	c^i	此	func
>>	tramp	游	pejvo	vag	荡	basic
=	transpon	转	pejvo	ali	别	basic
>>	trau^mat	创	pejvo	vund	伤	basic
>>	trau^mat	创	pejvo	psik	心	sci
>>	tribunal	法院	basic	jug	束缚	basic
>>	trimestr	季	pejvo	tri	三	num
>>	trimestr	季	pejvo	kvar	四	num
>>	trimestr	季	pejvo	lern	学	basic
=	trist	悲	pejvo	mal	反	pref
>>	trivial	卑	pejvo	vulgar	俗	basic
=	trop	喻	pejvo	vort	词	basic
=	trumpet	小号	basic	distr	散	basic
=	tuc^	墨	pejvo	lav	洗	basic
=	tuc^	墨	pejvo	c^i	此	func
>>	turbul	乱	pejvo	lamen	片	basic
=	turment	虐	basic	tortur	拷	pejvo
=	turne	巡	pejvo	rond	圆	basic
=	umbilik	脐	pejvo	hil	蛙	pejvo
=	unik	独	basic	unu	一	num
>>	uni	联	basic	unu	一	num
>>	uni	联	basic	kon	认	basic
=	unit	单位	pejvo	unu	一	num
>>	universitat	学	basic	alt	高	basic
=	ureter	输尿管	pejvo	urin	尿	basic
=	uretr	尿道	pejvo	urin	尿	basic
>>	uta	歌	pejvo	tank	战车	pejvo
>>	uzur	高利	pejvo	procent	率	basic
>>	vac^	值	pejvo	de	从	prep
>>	vagon	厢	basic	lokomotiv	机车	basic
>>	vak	空	basic	neo	新	pejvo
>>	vak	空	basic	liber	自由	basic
>>	vak	空	basic	dispon	处	basic
>>	vakcin	疫苗	basic	inokul	种	pejvo
=	val	谷	basic	basen	盆	pejvo
>>	valut	币	basic	deviz	铭	pejvo
>>	vampir	吸血鬼	pejvo	desmod	兽	piv
>>	var	货	basic	komerc	商	basic
>>	var	货	basic	artik	节	basic
>>	varp	经	pejvo	veft	纬	pejvo
>>	vaz	器	basic	pot	壶	basic
>>	vaz	器	basic	pelv	盆	basic
>>	vaz	器	basic	kruc	十字	basic
=	vaz	器	basic	angi	脉	pejvo
=	vegan	素	pejvo	veget	茂	basic
=	vegetal	植	basic	veget	茂	basic
=	vel	帆	basic	palat	口顶	basic
=	vener	性病	pejvo	seks	性	basic
>>	vepr	丛	pejvo	dorn	刺	basic
>>	vepr	丛	pejvo	arbust	灌木	pejvo
>>	verdikt	判	pejvo	jug	束缚	basic
>>	ver	真	basic	verd	绿	basic
>>	vermic^el	粉丝	pejvo	spaget	面	pejvo
=	vertig^	晕	pejvo	sent	感	basic
=	vertig^	晕	pejvo	kapt	捕	basic
>>	veteran	老	basic	eks	旧	pref
=	veterinar	兽医	pejvo	best	兽	basic
>>	veter	气	basic	klimat	气候	basic
=	vezik	囊	basic	aer	气	basic
=	viadukt	旱桥	basic	val	谷	basic
>>	vigl	活	basic	rapid	速	basic
>>	vigl	活	basic	observ	观	basic
>>	viktim	牺	basic	ofer	献	basic
=	vintr	冬	basic	tra	穿	prep
=	violent	暴	pejvo	perfor	穿	piv
=	viper	蛇	pejvo	vipur	毒蛇	pejvo
>>	vip	鞭	basic	verg	枝	basic
>>	virtuoz	匠	pejvo	majstr	师	basic
=	viscer	脏	pejvo	intern	内	basic
>>	viskoz	粘	pejvo	raj	鱼	pejvo
=	vit	葡	basic	vin	酒	basic
=	vitriol	矾	pejvo	sulf	硫	sci
>>	vol	愿	basic	konsci	觉	basic
=	volatil	挥发	pejvo	vapor	汽	basic
=	volont	愿	basic	mem	自	func
>>	volovan	酥盒	pejvo	past	糊	basic
=	vor	贪食	pejvo	mang	芒果	pejvo
=	vring	拧	pejvo	prem	压	basic
=	vultur	秃鹰	basic	kon	认	basic
=	zelot	迷	pejvo	fanatik	狂	pejvo
>>	zepelin	硬式飞艇	pejvo	aer	气	basic
=	zip	拉链	pejvo	fulm	闪	basic
>>	zodiak	黄道	pejvo	ek	始	pref
=	altitud	高	pejvo	absolut	绝	basic
>>	mis	误	pref	erar	错	basic
=	vort	词	basic	dir	说	basic
=	astaten	卤	piv	astat	无定	pejvo
=	bajonet	刺刀	pejvo	stift	销	pejvo
=	batrak	蛙	pejvo	amfibi	两栖	pejvo
=	bostrik	虫	piv	skorpi	蝎	basic
=	ekvipotencial	等势	piv	egal	等	basic
=	entjer	整	pejvo	cifer	数	basic
=	fals	伪	basic	mal	反	pref
=	femin	女	pejvo	vir	男	basic
=	filari	丝虫	piv	vukeri	虫	piv
=	fit	植	pejvo	salp	海桶	piv
=	fit	植	pejvo	akv	水	basic
=	flog	木	piv	floks	草	piv
=	foni	声	pejvo	radi	射	basic
=	format	版	basic	prepar	备	basic
=	grosulari	木	piv	gros	醋栗	pejvo
=	heksagon	六角	piv	regul	规	basic
=	heksagon	六角	piv	ses	六	num
=	holoste	硬骨	piv	holost	草	piv
=	impregn	浸	piv	fekund	肥	basic
=	klad	支	piv	filum	门	piv
=	klast	屑	piv	detrit	碎屑	piv
=	kori	绒膜	piv	derm	皮	sci
=	korm	茎叶体	piv	firma	商	basic
=	koroid	脉膜	pejvo	kori	绒膜	piv
=	kvik	麦草	piv	kvivit	鸣	piv
=	le	背风	piv	mal	反	pref
=	ligatur	结扎	piv	lig	结	basic
=	mish^ant	草	piv	mis	误	pref
=	mitral	机枪	pejvo	mitr	冠	pejvo
=	opt	视	piv	talam	丘脑	piv
=	plumbag	草	piv	grafit	石墨	pejvo
=	poefag	牛	piv	grunt	哼	pejvo
=	provincial	省	pejvo	orden	修会	pejvo
=	ruf	赤褐	pejvo	ferdek	甲板	pejvo
=	skop	镜	sci	s^kop	勺	piv
=	tak	倾	piv	board	迎风	pejvo
=	trigon	三角	piv	romb	菱	pejvo
